,出口：中国
区域,新加坡
次国家,
频率,月
单位,百万新加坡元
数据来源,Enterprise Singapore
状态,继续
数列ID,36422101 (SJFD)
SR码,SR520884
贸易代码,
助记符,
函数说明,
首次观测日期,01/1976
最后观测日期,01/2026
最后更新时间,16/02/2026
数列备注,[COVID-19-IMPACT]
建议,
平均 MEAN,2464.1074392678847
方差,7340876.363476348
标准差,2709.4051678322953
偏度,0.704843713303122
峰度,-0.9681196708155673
变异系数,1.0995483089151712
最小,1.318
最大,9215.9
中位数,796.758
总和 SUM,1480928.5710000002
减 SUBTRACT,-9214.582
参照期间,601
01/1976,11.604
02/1976,8.486
03/1976,1.318
04/1976,2.867
05/1976,2.018
06/1976,7.193
07/1976,3.263
08/1976,6.876
09/1976,3.677
10/1976,3.934
11/1976,39.121
12/1976,5.065
01/1977,8.355
02/1977,3.437
03/1977,5.932
04/1977,6.603
05/1977,7.832
06/1977,11.403
07/1977,10.295
08/1977,14.665
09/1977,45.483
10/1977,9.48
11/1977,7.68
12/1977,13.507
01/1978,6.058
02/1978,7.015
03/1978,8.615
04/1978,14.418
05/1978,9.008
06/1978,5.383
07/1978,9.794
08/1978,4.624
09/1978,17.723
10/1978,12.964
11/1978,14.477
12/1978,20.571
01/1979,15.815
02/1979,26.929
03/1979,29.057
04/1979,71.621
05/1979,19.545
06/1979,9.781
07/1979,31.191
08/1979,29.828
09/1979,18.303
10/1979,32.614
11/1979,42.38
12/1979,42.512
01/1980,87.824
02/1980,37.598
03/1980,78.856
04/1980,35.321
05/1980,47.836
06/1980,43.545
07/1980,47.307
08/1980,33.786
09/1980,49.856
10/1980,56.653
11/1980,36.136
12/1980,103.227
01/1981,36.175
02/1981,32.123
03/1981,30.138
04/1981,29.312
05/1981,32.689
06/1981,36.807
07/1981,38.308
08/1981,20.088
09/1981,33.385
10/1981,28.233
11/1981,24.952
12/1981,35.045
01/1982,18.309
02/1982,19.445
03/1982,27.236
04/1982,43.927
05/1982,44.586
06/1982,52.144
07/1982,54.399
08/1982,50.316
09/1982,48.409
10/1982,66.569
11/1982,47.923
12/1982,43.406
01/1983,38.383
02/1983,26.736
03/1983,29.587
04/1983,33.062
05/1983,58.105
06/1983,35.498
07/1983,35.475
08/1983,41.269
09/1983,29.064
10/1983,60.766
11/1983,37.956
12/1983,23.93
01/1984,38.217
02/1984,17.633
03/1984,40.607
04/1984,36.315
05/1984,32.846
06/1984,49.579
07/1984,42.13
08/1984,42.123
09/1984,49.808
10/1984,55.782
11/1984,54.835
12/1984,59.43
01/1985,61.382
02/1985,55.069
03/1985,45.411
04/1985,51.533
05/1985,53.25
06/1985,57.878
07/1985,57.766
08/1985,69.411
09/1985,57.119
10/1985,72.48
11/1985,82.815
12/1985,66.045
01/1986,118.564
02/1986,98.107
03/1986,77.711
04/1986,78.254
05/1986,86.065
06/1986,131.259
07/1986,113.796
08/1986,91.004
09/1986,101.263
10/1986,133.184
11/1986,115.592
12/1986,98.963
01/1987,120.2
02/1987,81.249
03/1987,88.931
04/1987,130.652
05/1987,102.803
06/1987,150.098
07/1987,134.295
08/1987,125.799
09/1987,184.347
10/1987,122.136
11/1987,135.308
12/1987,170.988
01/1988,202.245
02/1988,132.363
03/1988,136.275
04/1988,128.715
05/1988,140.043
06/1988,204.554
07/1988,180.878
08/1988,241.633
09/1988,287.782
10/1988,298.058
11/1988,198.102
12/1988,217.945
01/1989,182.662
02/1989,195.699
03/1989,172.876
04/1989,200.756
05/1989,232.37
06/1989,221.042
07/1989,204.15
08/1989,254.548
09/1989,184.905
10/1989,136.422
11/1989,184.489
12/1989,164.562
01/1990,96.638
02/1990,106.417
03/1990,138.835
04/1990,120.634
05/1990,123.493
06/1990,117.951
07/1990,157.871
08/1990,113.101
09/1990,89.57
10/1990,113.933
11/1990,143.967
12/1990,120.944
01/1991,78.422
02/1991,72.549
03/1991,110.538
04/1991,139.188
05/1991,170.034
06/1991,143.602
07/1991,166.892
08/1991,154.546
09/1991,104.364
10/1991,130.142
11/1991,104.241
12/1991,110.16
01/1992,123.729
02/1992,111.458
03/1992,132.733
04/1992,119.695
05/1992,131.103
06/1992,121.318
07/1992,166.255
08/1992,175.654
09/1992,169.114
10/1992,151.597
11/1992,164.709
12/1992,243.797
01/1993,140.648
02/1993,146.461
03/1993,300.197
04/1993,222.333
05/1993,251.32
06/1993,260.467
07/1993,256.414
08/1993,314.053
09/1993,254.717
10/1993,296.49
11/1993,334.9
12/1993,289.51
01/1994,247.604
02/1994,166.779
03/1994,254.395
04/1994,282.655
05/1994,297.937
06/1994,287.993
07/1994,295.937
08/1994,328.892
09/1994,283.388
10/1994,257.567
11/1994,238.575
12/1994,264.985
01/1995,212.514
02/1995,400.243
03/1995,325.889
04/1995,304.296
05/1995,345.171
06/1995,397.48
07/1995,385.467
08/1995,323.586
09/1995,295.308
10/1995,306.266
11/1995,322.293
12/1995,292.12
01/1996,317.988
02/1996,287.424
03/1996,421.129
04/1996,413.706
05/1996,386.992
06/1996,335.456
07/1996,375.484
08/1996,363.476
09/1996,343.924
10/1996,419.524
11/1996,539.812
12/1996,579.033
01/1997,451.398
02/1997,346.785
03/1997,474.675
04/1997,477.52
05/1997,514.324
06/1997,516.341
07/1997,467.381
08/1997,452.355
09/1997,497.813
10/1997,633.224
11/1997,534.417
12/1997,671.318
01/1998,491.586
02/1998,591.777
03/1998,643.409
04/1998,580.177
05/1998,576.32
06/1998,507.596
07/1998,549.795
08/1998,524.374
09/1998,577.59
10/1998,583.566
11/1998,557.48
12/1998,610.666
01/1999,548.698
02/1999,421.681
03/1999,648.964
04/1999,592.006
05/1999,540.876
06/1999,524.409
07/1999,500.748
08/1999,484.906
09/1999,585.477
10/1999,557.978
11/1999,572.54
12/1999,664.449
01/2000,464.106
02/2000,537.025
03/2000,802.338
04/2000,649.628
05/2000,845.912
06/2000,742.645
07/2000,775.979
08/2000,871.977
09/2000,909.193
10/2000,836.311
11/2000,933.036
12/2000,916.856
01/2001,769.994
02/2001,705.063
03/2001,950.771
04/2001,814.491
05/2001,799.309
06/2001,809.666
07/2001,712.684
08/2001,782.377
09/2001,784.775
10/2001,796.758
11/2001,788.787
12/2001,830.349
01/2002,960.199
02/2002,671.836
03/2002,900.843
04/2002,1125.828
05/2002,1094.071
06/2002,891.796
07/2002,972.641
08/2002,1025.336
09/2002,1006.45
10/2002,1225.551
11/2002,1247.568
12/2002,1145.985
01/2003,1258.8
02/2003,1032.7
03/2003,1300.8
04/2003,1378.9
05/2003,1294.5
06/2003,1289.3
07/2003,1430.1
08/2003,1512.1
09/2003,1661.8
10/2003,1741
11/2003,1741.9
12/2003,1996.2
01/2004,1613.6
02/2004,1869.2
03/2004,1926.8
04/2004,2073
05/2004,2056.5
06/2004,2121.4
07/2004,2121.8
08/2004,2125.9
09/2004,2557.3
10/2004,2448.8
11/2004,2434.3
12/2004,2623.6
01/2005,2342.2
02/2005,1838.4
03/2005,2534.3
04/2005,2500.3
05/2005,2604.6
06/2005,2477.9
07/2005,2772.6
08/2005,3080.7
09/2005,2939.6
10/2005,3265.4
11/2005,3105.8
12/2005,3447.5
01/2006,2927.6
02/2006,3121.6
03/2006,3631.3
04/2006,3227.5
05/2006,3500.2
06/2006,3683.7
07/2006,3132
08/2006,3568.6
09/2006,3976.1
10/2006,3734.8
11/2006,3633
12/2006,3931.5
01/2007,4225.7
02/2007,2859.9
03/2007,3618.6
04/2007,3531.3
05/2007,3416.6
06/2007,3686.3
07/2007,3566
08/2007,3833.7
09/2007,3709.7
10/2007,3843.5
11/2007,3754.5
12/2007,3507.7
01/2008,4011.7
02/2008,3120
03/2008,3468.1
04/2008,3967.2
05/2008,3850.4
06/2008,3933.7
07/2008,4363.4
08/2008,3926.3
09/2008,4036.3
10/2008,3398.5
11/2008,2716.5
12/2008,3031.9
01/2009,1944
02/2009,2706.7
03/2009,3399.8
04/2009,3231.1
05/2009,2992.6
06/2009,2973.6
07/2009,3321.3
08/2009,3005.4
09/2009,3529.5
10/2009,3381.1
11/2009,3596.6
12/2009,4056.8
01/2010,4021.5
02/2010,3167
03/2010,4295.3
04/2010,3809.9
05/2010,4386.6
06/2010,4261.8
07/2010,4087.6
08/2010,3958.1
09/2010,4138
10/2010,4168.1
11/2010,4393.7
12/2010,4794.5
01/2011,4734.8
02/2011,3514.3
03/2011,4490.9
04/2011,4113.3
05/2011,4393.9
06/2011,4521.4
07/2011,4160.3
08/2011,4708.7
09/2011,4646.3
10/2011,4744.8
11/2011,4759.3
12/2011,4876.3
01/2012,4011.5
02/2012,4312.4
03/2012,4396.6
04/2012,4311.3
05/2012,4814.6
06/2012,4604.9
07/2012,4612.3
08/2012,4438.4
09/2012,4439.4
10/2012,5248.3
11/2012,5219.7
12/2012,4892.2
01/2013,4548.1
02/2013,3680.8
03/2013,4297.2
04/2013,5103.2
05/2013,4994.5
06/2013,4537.7
07/2013,5465.8
08/2013,5508.3
09/2013,5340.2
10/2013,6092.9
11/2013,5601.4
12/2013,6477.1
01/2014,5738.9
02/2014,5413.1
03/2014,6287.6
04/2014,5575.1
05/2014,5419.2
06/2014,5132.3
07/2014,5506.7
08/2014,5519.8
09/2014,6321.5
10/2014,6331.3
11/2014,5911.3
12/2014,6105.2
01/2015,6338.2
02/2015,4743.6
03/2015,6173.5
04/2015,6153.8
05/2015,5896
06/2015,6081.3
07/2015,5981.4
08/2015,5070.3
09/2015,5863.8
10/2015,7072.3
11/2015,5684.8
12/2015,5595.2
01/2016,5063.2
02/2016,3991.3
03/2016,4649.1
04/2016,5119.5
05/2016,4814.2
06/2016,4865
07/2016,5140.2
08/2016,5177.4
09/2016,5222.4
10/2016,5376.9
11/2016,5961.3
12/2016,5872.1
01/2017,5436.8
02/2017,5627.9
03/2017,6329.9
04/2017,5992.3
05/2017,6537.4
06/2017,6361
07/2017,6309
08/2017,6541.2
09/2017,5788
10/2017,6704.7
11/2017,6658.4
12/2017,6273.5
01/2018,5688.5
02/2018,4646.3
03/2018,5408.7
04/2018,5861.2
05/2018,6189.9
06/2018,5505.1
07/2018,5807.7
08/2018,5851.1
09/2018,5010.9
10/2018,6157.1
11/2018,6130.6
12/2018,5755
01/2019,5037.7
02/2019,5869.6
03/2019,5308.1
04/2019,5923.8
05/2019,5568.9
06/2019,5282.3
07/2019,5760.5
08/2019,7123
09/2019,5533.1
10/2019,5678.9
11/2019,6333.7
12/2019,7002.4
01/2020,5091.2
02/2020,3910.6
03/2020,5255.3
04/2020,5038.2
05/2020,5080.4
06/2020,5603.1
07/2020,5395.7
08/2020,7970.2
09/2020,6561.5
10/2020,6992.7
11/2020,6852.9
12/2020,7090.8
01/2021,5682.7
02/2021,5255.7
03/2021,7270.1
04/2021,7838.8
05/2021,6720
06/2021,7300.5
07/2021,7991.9
08/2021,8135
09/2021,8785.1
10/2021,8461.5
11/2021,8281.3
12/2021,9215.9
01/2022,7163.5
02/2022,6929
03/2022,8912.4
04/2022,7481.3
05/2022,6757.8
06/2022,7516.4
07/2022,7792.1
08/2022,7548
09/2022,7133.6
10/2022,7810.5
11/2022,6773
12/2022,6374.2
01/2023,6018.8
02/2023,7078.2
03/2023,7484.7
04/2023,5875.6
05/2023,6897.3
06/2023,7856.1
07/2023,7105
08/2023,7416.1
09/2023,8019.1
10/2023,8931.6
11/2023,7369.1
12/2023,8030.6
01/2024,8793.6
02/2024,6427.9
03/2024,8605.4
04/2024,8207.8
05/2024,6959.1
06/2024,7283.2
07/2024,7677.2
08/2024,7707.6
09/2024,8228.9
10/2024,7942.4
11/2024,7925.9
12/2024,8683.6
01/2025,6067.1
02/2025,5546.2
03/2025,5846.3
04/2025,6671.5
05/2025,6364.9
06/2025,7051.2
07/2025,7069.2
08/2025,6805.6
09/2025,7871.2
10/2025,7493
11/2025,6239.9
12/2025,7833.9
01/2026,7443.3