,出口：中国香港特别行政区
区域,新加坡
次国家,
频率,月
单位,百万新加坡元
数据来源,Enterprise Singapore
状态,继续
数列ID,36422401 (SJFG)
SR码,SR520885
贸易代码,
助记符,
函数说明,
首次观测日期,01/1976
最后观测日期,01/2026
最后更新时间,16/02/2026
数列备注,[COVID-19-IMPACT]
建议,
平均 MEAN,2579.842618968387
方差,5135504.378208526
标准差,2266.1651259801274
偏度,0.5123974392139459
峰度,-1.1468006000966644
变异系数,0.8784121594542496
最小,74.648
最大,8154
中位数,1600.338
总和 SUM,1550485.4140000008
减 SUBTRACT,-8079.352
参照期间,601
01/1976,108.223
02/1976,95.182
03/1976,77.688
04/1976,133.127
05/1976,74.648
06/1976,110.924
07/1976,135.554
08/1976,81.298
09/1976,103.234
10/1976,112.85
11/1976,101.267
12/1976,132.604
01/1977,101.298
02/1977,96.952
03/1977,132.259
04/1977,109.024
05/1977,137.524
06/1977,102.769
07/1977,162.067
08/1977,120.089
09/1977,136.244
10/1977,117.762
11/1977,138.349
12/1977,119.69
01/1978,114.687
02/1978,96.338
03/1978,138.46
04/1978,144.094
05/1978,119.444
06/1978,139.312
07/1978,143.419
08/1978,133.704
09/1978,186.721
10/1978,132.335
11/1978,143.051
12/1978,138.826
01/1979,168.468
02/1979,106.259
03/1979,169.301
04/1979,136.462
05/1979,183.759
06/1979,134.351
07/1979,206.814
08/1979,203.454
09/1979,186.725
10/1979,158.324
11/1979,200.337
12/1979,234.149
01/1980,249.957
02/1980,186.922
03/1980,238.135
04/1980,208.488
05/1980,271.961
06/1980,297.769
07/1980,252.652
08/1980,309.333
09/1980,324.486
10/1980,214.504
11/1980,346.696
12/1980,295.023
01/1981,402.692
02/1981,235.627
03/1981,279.362
04/1981,297.485
05/1981,347.243
06/1981,333.874
07/1981,333.464
08/1981,383.079
09/1981,272.11
10/1981,395.564
11/1981,296.012
12/1981,304.852
01/1982,323.132
02/1982,329.417
03/1982,280.102
04/1982,335.62
05/1982,389.96
06/1982,266.981
07/1982,360.021
08/1982,350.215
09/1982,246.009
10/1982,362.987
11/1982,196.757
12/1982,299.798
01/1983,274.485
02/1983,259.142
03/1983,242.869
04/1983,257.325
05/1983,200.323
06/1983,248.658
07/1983,244.2
08/1983,313.074
09/1983,273.383
10/1983,347.076
11/1983,270.535
12/1983,200.927
01/1984,315.776
02/1984,190.395
03/1984,240.347
04/1984,228.99
05/1984,247.447
06/1984,224.128
07/1984,305.591
08/1984,332.285
09/1984,267.416
10/1984,295.252
11/1984,285.784
12/1984,242.791
01/1985,371.022
02/1985,273.595
03/1985,217.68
04/1985,321.109
05/1985,245.253
06/1985,286.458
07/1985,232.339
08/1985,263.105
09/1985,227.683
10/1985,257.935
11/1985,265.027
12/1985,236.224
01/1986,248.139
02/1986,286.328
03/1986,225.282
04/1986,222.694
05/1986,257.724
06/1986,283.956
07/1986,263.76
08/1986,267.942
09/1986,284.121
10/1986,281.562
11/1986,264.612
12/1986,296.802
01/1987,269.163
02/1987,241.113
03/1987,265.28
04/1987,337.729
05/1987,272.532
06/1987,338.987
07/1987,335.27
08/1987,349.785
09/1987,384.936
10/1987,305.173
11/1987,357.58
12/1987,357.368
01/1988,352.274
02/1988,320.054
03/1988,333.339
04/1988,354.252
05/1988,394.231
06/1988,473.718
07/1988,428.763
08/1988,437.324
09/1988,493.398
10/1988,520.988
11/1988,387.017
12/1988,448.391
01/1989,459.021
02/1989,304.335
03/1989,442.397
04/1989,436.718
05/1989,512.843
06/1989,469.969
07/1989,452.848
08/1989,504.101
09/1989,463.252
10/1989,487.216
11/1989,479.099
12/1989,493.585
01/1990,395.736
02/1990,389.154
03/1990,532.867
04/1990,434.069
05/1990,506.465
06/1990,523.037
07/1990,536.508
08/1990,501.89
09/1990,571.738
10/1990,640.658
11/1990,563.383
12/1990,590.443
01/1991,583.323
02/1991,452.083
03/1991,592.328
04/1991,573.999
05/1991,654.924
06/1991,620.404
07/1991,715.791
08/1991,632.976
09/1991,571.396
10/1991,722.794
11/1991,596.801
12/1991,629.666
01/1992,616.418
02/1992,512.912
03/1992,624.488
04/1992,621.957
05/1992,703.785
06/1992,647.748
07/1992,728.976
08/1992,650.169
09/1992,679.45
10/1992,689.857
11/1992,801.02
12/1992,804.018
01/1993,606.592
02/1993,679.936
03/1993,819.007
04/1993,856.536
05/1993,895.712
06/1993,928.005
07/1993,901.013
08/1993,826.86
09/1993,1024.977
10/1993,918.637
11/1993,928.982
12/1993,977.628
01/1994,908.337
02/1994,652.42
03/1994,946.977
04/1994,1036.657
05/1994,1142.066
06/1994,1184.448
07/1994,1079.111
08/1994,1157.23
09/1994,1172.308
10/1994,1104.07
11/1994,1123.882
12/1994,1306.732
01/1995,1016.707
02/1995,1030.429
03/1995,1324.276
04/1995,1165.051
05/1995,1288.941
06/1995,1208.726
07/1995,1110.86
08/1995,1228.319
09/1995,1183.397
10/1995,1265.998
11/1995,1279.112
12/1995,1250.356
01/1996,1337.203
02/1996,897.581
03/1996,1486.618
04/1996,1270.504
05/1996,1227.12
06/1996,1285.06
07/1996,1392.818
08/1996,1297.531
09/1996,1249.368
10/1996,1456.73
11/1996,1351.793
12/1996,1435.075
01/1997,1302.854
02/1997,930.806
03/1997,1501.997
04/1997,1716.972
05/1997,1817.487
06/1997,1591.113
07/1997,1440.517
08/1997,1406.448
09/1997,1529.273
10/1997,1511.181
11/1997,1465.507
12/1997,1634.278
01/1998,1266.905
02/1998,1271.131
03/1998,1568.389
04/1998,1384.275
05/1998,1320.924
06/1998,1439.574
07/1998,1289.53
08/1998,1210.439
09/1998,1161.682
10/1998,1159.399
11/1998,1106.455
12/1998,1239.602
01/1999,1127.825
02/1999,871.905
03/1999,1289.268
04/1999,1348.34
05/1999,1168.799
06/1999,1141.041
07/1999,1154.694
08/1999,1232.092
09/1999,1399.476
10/1999,1297.663
11/1999,1365.406
12/1999,1518.713
01/2000,1288.474
02/2000,1226.867
03/2000,1652.204
04/2000,1481.598
05/2000,1658.162
06/2000,1506.952
07/2000,1664.357
08/2000,1602.895
09/2000,1594.767
10/2000,1730.285
11/2000,1565.648
12/2000,1732.71
01/2001,1470.65
02/2001,1522.201
03/2001,1752.389
04/2001,1585.378
05/2001,1603.467
06/2001,1664.485
07/2001,1600.338
08/2001,1831.531
09/2001,1667.495
10/2001,1584.392
11/2001,1563.067
12/2001,1528.337
01/2002,1445.335
02/2002,1093.029
03/2002,1635.878
04/2002,1670.069
05/2002,1485.462
06/2002,1654.592
07/2002,1798.19
08/2002,1860.552
09/2002,1811.498
10/2002,1827.08
11/2002,2035.125
12/2002,2178.859
01/2003,2277.8
02/2003,1742.2
03/2003,2333.1
04/2003,2007.3
05/2003,1828.8
06/2003,1999.1
07/2003,1983.8
08/2003,1958.6
09/2003,2377.5
10/2003,2175.2
11/2003,2043.3
12/2003,2447.9
01/2004,1894.2
02/2004,2084.2
03/2004,2594.6
04/2004,2546.3
05/2004,2591.6
06/2004,2520.9
07/2004,2460
08/2004,2423.6
09/2004,2668.4
10/2004,2737.4
11/2004,2445.3
12/2004,2840.6
01/2005,2486.6
02/2005,2063.2
03/2005,2884.6
04/2005,2535.9
05/2005,2784
06/2005,2993.3
07/2005,2975.7
08/2005,3372
09/2005,3462.8
10/2005,3324.6
11/2005,3426.1
12/2005,3567.2
01/2006,3163.7
02/2006,3236.8
03/2006,3645.5
04/2006,2921.4
05/2006,3537.6
06/2006,3509.7
07/2006,4101.4
08/2006,3797.8
09/2006,4289.5
10/2006,3826.2
11/2006,3658.5
12/2006,3682.9
01/2007,3556.2
02/2007,2987.7
03/2007,3958.5
04/2007,3984.4
05/2007,3589.5
06/2007,4087.5
07/2007,4057.1
08/2007,4169.3
09/2007,4300.1
10/2007,4266.9
11/2007,4205.1
12/2007,4206.9
01/2008,4517
02/2008,3556.3
03/2008,4290
04/2008,3898.5
05/2008,4256.2
06/2008,4412.4
07/2008,4592.5
08/2008,4196.7
09/2008,4749.9
10/2008,4259.1
11/2008,3564.4
12/2008,3288.8
01/2009,2648.4
02/2009,3156.1
03/2009,3716.5
04/2009,3686.1
05/2009,3584
06/2009,3502.8
07/2009,3822.5
08/2009,4115.2
09/2009,4211.9
10/2009,4036.1
11/2009,4154.6
12/2009,4723.6
01/2010,4535.3
02/2010,3490.4
03/2010,4858.2
04/2010,4524.1
05/2010,4432.2
06/2010,4465.5
07/2010,4657.5
08/2010,5446.3
09/2010,5239.4
10/2010,5022.8
11/2010,4777.2
12/2010,4717.4
01/2011,4992.6
02/2011,4154.8
03/2011,4819.8
04/2011,4685.4
05/2011,4623.7
06/2011,4827.9
07/2011,4437.8
08/2011,4638.7
09/2011,5077.1
10/2011,4495.3
11/2011,5169.9
12/2011,4708.4
01/2012,4798.1
02/2012,4666.4
03/2012,5008.9
04/2012,5380.5
05/2012,4560.4
06/2012,4585.7
07/2012,4570.4
08/2012,4397.8
09/2012,4723.5
10/2012,5097.7
11/2012,5551.5
12/2012,4531.1
01/2013,4625.2
02/2013,3831.5
03/2013,4527.4
04/2013,4728.9
05/2013,4637.7
06/2013,4431.1
07/2013,4582.6
08/2013,4852.7
09/2013,5693.8
10/2013,5641.4
11/2013,5343.8
12/2013,4745.4
01/2014,5614.7
02/2014,4202.9
03/2014,5089.3
04/2014,4700.8
05/2014,4723.7
06/2014,4752.6
07/2014,4635.1
08/2014,4482.6
09/2014,5051.8
10/2014,5094.4
11/2014,4825.2
12/2014,4833.7
01/2015,5221.5
02/2015,3706.2
03/2015,4877.3
04/2015,4471
05/2015,4640.3
06/2015,4666.4
07/2015,4794.6
08/2015,4455.6
09/2015,4693.4
10/2015,4890.9
11/2015,4589.6
12/2015,5506.8
01/2016,4316.8
02/2016,3983.7
03/2016,4871.8
04/2016,5149.6
05/2016,4691.6
06/2016,5070.8
07/2016,5020.1
08/2016,5082.9
09/2016,5255.1
10/2016,5083.4
11/2016,5737.3
12/2016,5483.1
01/2017,4654.4
02/2017,4627.5
03/2017,5675.2
04/2017,4871.5
05/2017,5079.8
06/2017,5419.3
07/2017,6101.2
08/2017,6057
09/2017,5232.2
10/2017,4964.7
11/2017,6033.1
12/2017,4767.5
01/2018,4990.6
02/2018,4231.7
03/2018,5324.8
04/2018,4878
05/2018,5310.4
06/2018,5516.8
07/2018,5828.1
08/2018,6468.6
09/2018,5994
10/2018,6179.6
11/2018,6017.4
12/2018,4936.3
01/2019,5133.1
02/2019,4850.9
03/2019,4761
04/2019,5098.4
05/2019,5383.1
06/2019,4647.6
07/2019,4619.2
08/2019,5317.2
09/2019,5117.6
10/2019,5319
11/2019,5305.3
12/2019,4989.8
01/2020,4726.8
02/2020,5116.6
03/2020,5823.7
04/2020,5387.1
05/2020,4674.1
06/2020,4886.4
07/2020,5031.9
08/2020,5104.8
09/2020,5594.8
10/2020,5784.2
11/2020,5671.8
12/2020,5941.2
01/2021,5693.7
02/2021,5518.3
03/2021,7470.9
04/2021,6289.3
05/2021,7161.9
06/2021,6598.2
07/2021,6494.7
08/2021,7169.8
09/2021,7015
10/2021,6395.5
11/2021,7276.5
12/2021,7654
01/2022,6509.7
02/2022,6514.8
03/2022,6807.2
04/2022,6769.2
05/2022,7486
06/2022,7717.9
07/2022,6138.6
08/2022,6466.3
09/2022,7405.7
10/2022,5137.2
11/2022,5302.4
12/2022,7404
01/2023,3884.2
02/2023,4532.8
03/2023,6082.6
04/2023,4530
05/2023,4999.1
06/2023,5967.8
07/2023,5863.8
08/2023,5844.2
09/2023,7003.6
10/2023,6448.1
11/2023,6230.3
12/2023,6319.6
01/2024,6290.9
02/2024,6132.8
03/2024,5943.3
04/2024,6662.9
05/2024,6111.3
06/2024,5272.4
07/2024,5208.4
08/2024,6176.6
09/2024,5568.4
10/2024,5554
11/2024,7474.9
12/2024,7482.7
01/2025,6587.1
02/2025,5898.1
03/2025,6617.9
04/2025,6829.7
05/2025,6462.6
06/2025,6584.4
07/2025,6230.1
08/2025,6138.6
09/2025,7917.7
10/2025,8099.6
11/2025,6822.5
12/2025,7783.5
01/2026,8154