,出口：印度
区域,新加坡
次国家,
频率,月
单位,百万新加坡元
数据来源,Enterprise Singapore
状态,继续
数列ID,36423801 (SJFSA)
SR码,SR520886
贸易代码,
助记符,
函数说明,
首次观测日期,01/1976
最后观测日期,01/2026
最后更新时间,16/02/2026
数列备注,
建议,
平均 MEAN,681.9086123128121
方差,383583.89292648726
标准差,619.3414994383045
偏度,0.5792103500344982
峰度,-0.9772233555888103
变异系数,0.9082470704361684
最小,6.407
最大,2860.2
中位数,400.357
总和 SUM,409827.0760000002
减 SUBTRACT,-2853.7929999999997
参照期间,601
01/1976,9.368
02/1976,9.328
03/1976,10.472
04/1976,6.431
05/1976,8.892
06/1976,8.74
07/1976,10.637
08/1976,11.026
09/1976,10.11
10/1976,10.112
11/1976,6.407
12/1976,11.612
01/1977,11.899
02/1977,20.365
03/1977,10.383
04/1977,16.484
05/1977,18.189
06/1977,22.177
07/1977,26.541
08/1977,26.677
09/1977,33.883
10/1977,46.263
11/1977,50.688
12/1977,62.672
01/1978,125.444
02/1978,76.773
03/1978,41.762
04/1978,41.527
05/1978,25.008
06/1978,27.757
07/1978,28.849
08/1978,55.076
09/1978,36.481
10/1978,79.374
11/1978,38.429
12/1978,45.128
01/1979,40.024
02/1979,29.938
03/1979,58.018
04/1979,41.514
05/1979,40.633
06/1979,21.869
07/1979,31.028
08/1979,51.158
09/1979,37.077
10/1979,63.95
11/1979,42.207
12/1979,32.751
01/1980,71.231
02/1980,69.502
03/1980,96.331
04/1980,152.944
05/1980,123.815
06/1980,79.452
07/1980,46.953
08/1980,55.53
09/1980,49.046
10/1980,75.748
11/1980,49.6
12/1980,91.549
01/1981,169.234
02/1981,97.283
03/1981,95.676
04/1981,119.597
05/1981,40.09
06/1981,65.708
07/1981,66.378
08/1981,88.925
09/1981,89.955
10/1981,110.854
11/1981,124.863
12/1981,125.085
01/1982,133.386
02/1982,133.414
03/1982,64.383
04/1982,109.289
05/1982,100.087
06/1982,184.412
07/1982,67.304
08/1982,61.178
09/1982,52.849
10/1982,43.568
11/1982,91.983
12/1982,109.707
01/1983,44.771
02/1983,61.879
03/1983,149.804
04/1983,143.644
05/1983,73.467
06/1983,68.326
07/1983,37.797
08/1983,59.114
09/1983,54.928
10/1983,59.018
11/1983,87.168
12/1983,83.455
01/1984,102.863
02/1984,117.206
03/1984,93.323
04/1984,72.043
05/1984,148.054
06/1984,170.893
07/1984,85.432
08/1984,113.9
09/1984,158.211
10/1984,93.533
11/1984,169.396
12/1984,88.479
01/1985,130.165
02/1985,145.971
03/1985,79.24
04/1985,106.814
05/1985,128.013
06/1985,71.899
07/1985,62.984
08/1985,66.911
09/1985,52.565
10/1985,71.565
11/1985,86.502
12/1985,66.403
01/1986,78.389
02/1986,67.881
03/1986,95.258
04/1986,175.697
05/1986,57.653
06/1986,73.816
07/1986,68.313
08/1986,78.358
09/1986,87.997
10/1986,84.342
11/1986,77.351
12/1986,82.705
01/1987,74.002
02/1987,82.364
03/1987,74.998
04/1987,82.612
05/1987,165.736
06/1987,108.773
07/1987,72.595
08/1987,101.825
09/1987,87.609
10/1987,91.419
11/1987,88.357
12/1987,139.871
01/1988,100.408
02/1988,95.614
03/1988,122.935
04/1988,121.856
05/1988,112.327
06/1988,134.284
07/1988,104.433
08/1988,110.092
09/1988,123.211
10/1988,131.556
11/1988,139.047
12/1988,184.321
01/1989,126.645
02/1989,151.004
03/1989,164.017
04/1989,145.25
05/1989,152.91
06/1989,181.083
07/1989,126.565
08/1989,127.283
09/1989,141.755
10/1989,148.592
11/1989,187.084
12/1989,171.803
01/1990,163.036
02/1990,136.35
03/1990,199.891
04/1990,136.083
05/1990,152.115
06/1990,162.11
07/1990,145.963
08/1990,141.424
09/1990,176.169
10/1990,233.511
11/1990,123.377
12/1990,220.095
01/1991,277.785
02/1991,197.441
03/1991,162.819
04/1991,101.709
05/1991,118.872
06/1991,112.827
07/1991,93.127
08/1991,112.948
09/1991,117.662
10/1991,123.676
11/1991,150.43
12/1991,157.913
01/1992,136.837
02/1992,132.088
03/1992,156.353
04/1992,127.312
05/1992,96.958
06/1992,110.505
07/1992,78.473
08/1992,94.437
09/1992,121.74
10/1992,136.509
11/1992,155.15
12/1992,177.983
01/1993,155.569
02/1993,94.756
03/1993,153.659
04/1993,165.072
05/1993,106.041
06/1993,103.02
07/1993,146.175
08/1993,102.025
09/1993,127.488
10/1993,111.39
11/1993,132.092
12/1993,136.089
01/1994,96.985
02/1994,127.669
03/1994,190.004
04/1994,162.751
05/1994,148.001
06/1994,127.404
07/1994,147.249
08/1994,174.739
09/1994,181.553
10/1994,222.935
11/1994,170.578
12/1994,178.179
01/1995,187.095
02/1995,162.814
03/1995,224.154
04/1995,189.258
05/1995,240.982
06/1995,243.613
07/1995,227.573
08/1995,237.285
09/1995,245.924
10/1995,246.151
11/1995,251.293
12/1995,204.85
01/1996,328.195
02/1996,193.499
03/1996,257.872
04/1996,289.873
05/1996,247.725
06/1996,224.522
07/1996,238.385
08/1996,226.233
09/1996,257.292
10/1996,223.342
11/1996,208.765
12/1996,231.326
01/1997,227.525
02/1997,243.453
03/1997,270.928
04/1997,261.61
05/1997,292.288
06/1997,246.775
07/1997,276.617
08/1997,262.978
09/1997,291.109
10/1997,327.047
11/1997,292.897
12/1997,304.261
01/1998,309.467
02/1998,289.068
03/1998,364.62
04/1998,299.464
05/1998,343.264
06/1998,351.492
07/1998,365.735
08/1998,363.656
09/1998,392.672
10/1998,350.82
11/1998,303.887
12/1998,338.895
01/1999,269.093
02/1999,297.362
03/1999,387.639
04/1999,383.438
05/1999,365.956
06/1999,331.997
07/1999,342.548
08/1999,388.158
09/1999,377.499
10/1999,369.293
11/1999,326.843
12/1999,403.489
01/2000,338.503
02/2000,411.442
03/2000,448.807
04/2000,338.597
05/2000,385.06
06/2000,396.73
07/2000,419.945
08/2000,430.286
09/2000,436.009
10/2000,419.207
11/2000,370.677
12/2000,408.434
01/2001,378.424
02/2001,388.772
03/2001,469.621
04/2001,403.017
05/2001,389.024
06/2001,409.601
07/2001,441.199
08/2001,410.244
09/2001,395.412
10/2001,450.311
11/2001,346.904
12/2001,390.237
01/2002,582.733
02/2002,367.697
03/2002,488.772
04/2002,497.333
05/2002,524.139
06/2002,407.649
07/2002,555.737
08/2002,572.051
09/2002,400.357
10/2002,496.192
11/2002,403.406
12/2002,557.91
01/2003,434.9
02/2003,381.9
03/2003,452.7
04/2003,432.2
05/2003,422.2
06/2003,412.4
07/2003,473
08/2003,432.5
09/2003,477.2
10/2003,499.3
11/2003,453.1
12/2003,547.4
01/2004,483.3
02/2004,508.5
03/2004,609.2
04/2004,596
05/2004,573.6
06/2004,579
07/2004,656.9
08/2004,628.7
09/2004,685.3
10/2004,621.1
11/2004,553.7
12/2004,650.1
01/2005,722.1
02/2005,654.9
03/2005,936
04/2005,758.1
05/2005,827.3
06/2005,894.1
07/2005,946.3
08/2005,856.9
09/2005,781.4
10/2005,846.4
11/2005,845.4
12/2005,798.4
01/2006,739.3
02/2006,900.5
03/2006,1000.7
04/2006,950.8
05/2006,967.3
06/2006,1150.6
07/2006,1086.3
08/2006,973.5
09/2006,1349.3
10/2006,1168.8
11/2006,1193.4
12/2006,1213.5
01/2007,1287
02/2007,1130.9
03/2007,1342.4
04/2007,1404.8
05/2007,1322.6
06/2007,1537.9
07/2007,1545
08/2007,1494.8
09/2007,1564.9
10/2007,1581.1
11/2007,1274.9
12/2007,1313.8
01/2008,1483.7
02/2008,1557.7
03/2008,1662.8
04/2008,1950.7
05/2008,1624.2
06/2008,1384.7
07/2008,1561.9
08/2008,1404
09/2008,1419.8
10/2008,1337.5
11/2008,1099.5
12/2008,1105.9
01/2009,1058.2
02/2009,970.1
03/2009,1081.4
04/2009,1263.3
05/2009,1357.5
06/2009,1108
07/2009,1339.7
08/2009,1046.2
09/2009,1092.3
10/2009,1027.8
11/2009,1064.1
12/2009,1168
01/2010,1191.6
02/2010,1236.6
03/2010,1618.4
04/2010,1319.2
05/2010,1522.6
06/2010,1752
07/2010,1729.5
08/2010,1623.1
09/2010,1504.8
10/2010,1438.6
11/2010,1319.6
12/2010,1992.5
01/2011,1401.2
02/2011,1104.9
03/2011,2203.7
04/2011,1852.4
05/2011,1573
06/2011,1765.4
07/2011,1490.7
08/2011,1350.8
09/2011,1380.3
10/2011,1192.4
11/2011,1221.2
12/2011,1467.1
01/2012,1215.3
02/2012,1291.1
03/2012,1385.7
04/2012,1256.9
05/2012,1459.9
06/2012,1270.6
07/2012,1198.3
08/2012,1115.3
09/2012,1139.7
10/2012,1028
11/2012,1066
12/2012,1338.8
01/2013,1346.3
02/2013,1454.6
03/2013,1234.8
04/2013,1198.4
05/2013,1131.9
06/2013,1161.2
07/2013,1265.8
08/2013,1077.6
09/2013,1029.4
10/2013,1309.8
11/2013,928.2
12/2013,1191.6
01/2014,1091.6
02/2014,1018.2
03/2014,1219.9
04/2014,1194
05/2014,1201.3
06/2014,1188.6
07/2014,1339.4
08/2014,1281.2
09/2014,1391.3
10/2014,1187.2
11/2014,1287.2
12/2014,1158.6
01/2015,1140.7
02/2015,1097.9
03/2015,1412.8
04/2015,1415.7
05/2015,1173.1
06/2015,1366.2
07/2015,1323.2
08/2015,1229.2
09/2015,1251.5
10/2015,1301.5
11/2015,1103
12/2015,1290.6
01/2016,1031.3
02/2016,1000.7
03/2016,1295.7
04/2016,1137.6
05/2016,1321
06/2016,1181.7
07/2016,1056.6
08/2016,1159.6
09/2016,1180.3
10/2016,1170.6
11/2016,1169.3
12/2016,1156.1
01/2017,1193.2
02/2017,1227.4
03/2017,1438.9
04/2017,1197.3
05/2017,1344.8
06/2017,1295.8
07/2017,1270
08/2017,1239.2
09/2017,1132.6
10/2017,1258.3
11/2017,1209.2
12/2017,1395.2
01/2018,1335.5
02/2018,1238.8
03/2018,1417.2
04/2018,1297.4
05/2018,1315.4
06/2018,1374.7
07/2018,1497.7
08/2018,1554.3
09/2018,1470.5
10/2018,1500.5
11/2018,1212.8
12/2018,1427.1
01/2019,1377.8
02/2019,1090.5
03/2019,1475.4
04/2019,1258.7
05/2019,1471.4
06/2019,1356.3
07/2019,1341.2
08/2019,1249.7
09/2019,1200.3
10/2019,1185.1
11/2019,1281.2
12/2019,1320.7
01/2020,1343.7
02/2020,1363.7
03/2020,1056.7
04/2020,463.5
05/2020,573.8
06/2020,800.9
07/2020,845.6
08/2020,1094.3
09/2020,1242.5
10/2020,1153
11/2020,1230.9
12/2020,1482.6
01/2021,1285.3
02/2021,1296.7
03/2021,1658.6
04/2021,1497.6
05/2021,1054.9
06/2021,1116.3
07/2021,1274.7
08/2021,1376.7
09/2021,1610.2
10/2021,1541.3
11/2021,1616.1
12/2021,1617.5
01/2022,1634
02/2022,1470.3
03/2022,1733.9
04/2022,1671.9
05/2022,1441.2
06/2022,1595.7
07/2022,1637
08/2022,1593.9
09/2022,1817.8
10/2022,1395.9
11/2022,1467.2
12/2022,1703
01/2023,1421.5
02/2023,1447.1
03/2023,1751.5
04/2023,1319.6
05/2023,1482.9
06/2023,1738.3
07/2023,1491.9
08/2023,1941.4
09/2023,1647.5
10/2023,1889.4
11/2023,1586.7
12/2023,1670.1
01/2024,1572.5
02/2024,1385.9
03/2024,1603.7
04/2024,1617.6
05/2024,1627.6
06/2024,1600
07/2024,2074.2
08/2024,2012.3
09/2024,1732.3
10/2024,1564.7
11/2024,1688.5
12/2024,1739.5
01/2025,1800.5
02/2025,1911.2
03/2025,1736.4
04/2025,2045.8
05/2025,1810.7
06/2025,1954.2
07/2025,2123.1
08/2025,1908
09/2025,2280.3
10/2025,2860.2
11/2025,1985
12/2025,2244.4
01/2026,2162.6