,出口：墨西哥
区域,新加坡
次国家,
频率,月
单位,百万新加坡元
数据来源,Enterprise Singapore
状态,继续
数列ID,36424201 (SJFSE)
SR码,SR520858
贸易代码,
助记符,
函数说明,
首次观测日期,01/1976
最后观测日期,01/2026
最后更新时间,16/02/2026
数列备注,
建议,
平均 MEAN,112.12239434276204
方差,36449.067613842584
标准差,190.916389065587
偏度,5.773927052639332
峰度,48.8535228176905
变异系数,1.7027498403392012
最小,0.477
最大,2358.1
中位数,84.089
总和 SUM,67385.55899999998
减 SUBTRACT,-2357.623
参照期间,601
01/1976,4.421
02/1976,2.171
03/1976,4.053
04/1976,3.836
05/1976,4.832
06/1976,2.452
07/1976,3.999
08/1976,1.884
09/1976,4.9
10/1976,3.081
11/1976,3.697
12/1976,1.943
01/1977,4.22
02/1977,3.105
03/1977,6.116
04/1977,3.4
05/1977,5.161
06/1977,4.562
07/1977,4.427
08/1977,5.752
09/1977,5.722
10/1977,6.156
11/1977,4.33
12/1977,4.767
01/1978,3.602
02/1978,5.073
03/1978,3.351
04/1978,5.116
05/1978,4.884
06/1978,4.188
07/1978,4.712
08/1978,3.804
09/1978,6.012
10/1978,4.803
11/1978,1.754
12/1978,11.87
01/1979,3.09
02/1979,4.339
03/1979,15.542
04/1979,0.769
05/1979,6.101
06/1979,9.823
07/1979,6.432
08/1979,4.243
09/1979,8.599
10/1979,4.791
11/1979,5.177
12/1979,5.393
01/1980,5.38
02/1980,11.383
03/1980,5.522
04/1980,16.197
05/1980,5.53
06/1980,6.835
07/1980,7.067
08/1980,7.693
09/1980,7.485
10/1980,6.827
11/1980,6.057
12/1980,6.597
01/1981,5.622
02/1981,5.192
03/1981,9.792
04/1981,4.087
05/1981,9.211
06/1981,4.175
07/1981,7.927
08/1981,6.17
09/1981,6.256
10/1981,4.331
11/1981,8.409
12/1981,9.791
01/1982,5.933
02/1982,5.347
03/1982,1.196
04/1982,8.031
05/1982,2.956
06/1982,1.976
07/1982,4.389
08/1982,6.206
09/1982,1.153
10/1982,0.603
11/1982,0.477
12/1982,0.67
01/1983,0.64
02/1983,2.66
03/1983,2.156
04/1983,2.802
05/1983,2.522
06/1983,3.925
07/1983,2.563
08/1983,1.07
09/1983,1.767
10/1983,0.957
11/1983,2.316
12/1983,2.822
01/1984,2.721
02/1984,2.026
03/1984,0.929
04/1984,2.848
05/1984,1.736
06/1984,1.579
07/1984,3.01
08/1984,3.774
09/1984,3.34
10/1984,2.22
11/1984,1.919
12/1984,3.457
01/1985,2.983
02/1985,2.373
03/1985,2.271
04/1985,1.833
05/1985,1.831
06/1985,2.551
07/1985,2.909
08/1985,5.213
09/1985,6.484
10/1985,5.82
11/1985,2.433
12/1985,2.348
01/1986,2.883
02/1986,2.754
03/1986,3.564
04/1986,3.13
05/1986,3.873
06/1986,1.473
07/1986,2.083
08/1986,3.795
09/1986,4.636
10/1986,1.586
11/1986,1.966
12/1986,3.428
01/1987,1.73
02/1987,2.614
03/1987,2.403
04/1987,2.704
05/1987,1.752
06/1987,5.312
07/1987,4.615
08/1987,1.822
09/1987,3.87
10/1987,2.102
11/1987,6.961
12/1987,8.766
01/1988,4.594
02/1988,3.432
03/1988,3.203
04/1988,5.341
05/1988,4.337
06/1988,4.997
07/1988,5.294
08/1988,5.539
09/1988,8.329
10/1988,10.418
11/1988,11.207
12/1988,6.742
01/1989,10.662
02/1989,6.532
03/1989,10.884
04/1989,12.423
05/1989,9.265
06/1989,8.445
07/1989,10.132
08/1989,13.715
09/1989,7.537
10/1989,7.543
11/1989,7.445
12/1989,6.451
01/1990,7.24
02/1990,7.861
03/1990,8.093
04/1990,9.442
05/1990,12.913
06/1990,11.649
07/1990,18.666
08/1990,15.196
09/1990,12.714
10/1990,12.641
11/1990,10.308
12/1990,14.387
01/1991,9.908
02/1991,10.752
03/1991,11.273
04/1991,10.516
05/1991,13.864
06/1991,13.446
07/1991,17.818
08/1991,15.988
09/1991,14.312
10/1991,13.634
11/1991,12.027
12/1991,13.577
01/1992,11.771
02/1992,10.63
03/1992,13.944
04/1992,11.382
05/1992,13.734
06/1992,13.463
07/1992,12.901
08/1992,18.721
09/1992,19.207
10/1992,20.331
11/1992,15.593
12/1992,14.393
01/1993,13.745
02/1993,15.703
03/1993,14.143
04/1993,11.473
05/1993,11.08
06/1993,13.719
07/1993,20.524
08/1993,20.694
09/1993,24.881
10/1993,24.431
11/1993,18.676
12/1993,21.957
01/1994,22.487
02/1994,23.366
03/1994,34.929
04/1994,28.927
05/1994,25.292
06/1994,19.813
07/1994,24.632
08/1994,24.078
09/1994,30.281
10/1994,26.377
11/1994,22.513
12/1994,29.072
01/1995,18.364
02/1995,12.522
03/1995,19.108
04/1995,19.13
05/1995,17.522
06/1995,17.115
07/1995,25.083
08/1995,33.461
09/1995,25.08
10/1995,32.765
11/1995,23.616
12/1995,21.522
01/1996,29.426
02/1996,20.818
03/1996,30.131
04/1996,37.758
05/1996,52.16
06/1996,47.183
07/1996,57.874
08/1996,60.972
09/1996,67.521
10/1996,61.585
11/1996,38.241
12/1996,43.951
01/1997,53.527
02/1997,40.145
03/1997,56.873
04/1997,54.839
05/1997,54.959
06/1997,62.417
07/1997,63.585
08/1997,84.089
09/1997,81.607
10/1997,66.522
11/1997,51.597
12/1997,52.981
01/1998,55.479
02/1998,45.587
03/1998,68.599
04/1998,78.066
05/1998,71.837
06/1998,74.647
07/1998,80.621
08/1998,102.329
09/1998,94.644
10/1998,81.52
11/1998,56.885
12/1998,47.11
01/1999,54.659
02/1999,56.029
03/1999,63.211
04/1999,104.694
05/1999,108.127
06/1999,112.968
07/1999,116.133
08/1999,122.806
09/1999,127.657
10/1999,98.002
11/1999,98.697
12/1999,112.972
01/2000,83.001
02/2000,93.434
03/2000,119.626
04/2000,109.121
05/2000,101.765
06/2000,118.837
07/2000,109.675
08/2000,158.858
09/2000,159.926
10/2000,157.739
11/2000,110.972
12/2000,109.442
01/2001,90.817
02/2001,97.936
03/2001,119.198
04/2001,94.609
05/2001,111.705
06/2001,145.725
07/2001,128.267
08/2001,109.194
09/2001,108.102
10/2001,123.693
11/2001,108.923
12/2001,81.012
01/2002,103.079
02/2002,80.891
03/2002,90.14
04/2002,101.287
05/2002,107.518
06/2002,95.219
07/2002,132.513
08/2002,124.948
09/2002,115.642
10/2002,130.164
11/2002,169.767
12/2002,80.073
01/2003,83.9
02/2003,65
03/2003,80.1
04/2003,122.1
05/2003,130.2
06/2003,106.7
07/2003,94.9
08/2003,60
09/2003,100.1
10/2003,89.7
11/2003,230.8
12/2003,88
01/2004,63.6
02/2004,62.8
03/2004,112.3
04/2004,122.1
05/2004,118
06/2004,131.3
07/2004,137
08/2004,145.7
09/2004,173.5
10/2004,115.7
11/2004,112.9
12/2004,121.1
01/2005,96
02/2005,93.3
03/2005,99.9
04/2005,120.7
05/2005,135.2
06/2005,138.4
07/2005,159.3
08/2005,144.3
09/2005,148.3
10/2005,121.7
11/2005,126.8
12/2005,235.1
01/2006,110.7
02/2006,121.3
03/2006,156.6
04/2006,125.1
05/2006,129.1
06/2006,152.5
07/2006,134.1
08/2006,148.9
09/2006,158.6
10/2006,139.9
11/2006,118.9
12/2006,107.1
01/2007,111.1
02/2007,112.7
03/2007,123
04/2007,110.5
05/2007,93.7
06/2007,148.1
07/2007,224.2
08/2007,143.7
09/2007,117.4
10/2007,190.6
11/2007,142.2
12/2007,120.2
01/2008,151.7
02/2008,99.2
03/2008,695.4
04/2008,115.8
05/2008,104
06/2008,113.4
07/2008,118.6
08/2008,114.2
09/2008,172
10/2008,167.4
11/2008,106.6
12/2008,74.1
01/2009,80
02/2009,76.3
03/2009,64.2
04/2009,69.6
05/2009,296.1
06/2009,420.9
07/2009,474.2
08/2009,94.5
09/2009,109.1
10/2009,100.8
11/2009,103.1
12/2009,113.4
01/2010,94.4
02/2010,108.7
03/2010,107
04/2010,131.7
05/2010,117.3
06/2010,126.9
07/2010,241.4
08/2010,128
09/2010,126.8
10/2010,148.9
11/2010,109.8
12/2010,105.4
01/2011,127.9
02/2011,67.3
03/2011,847.7
04/2011,195.8
05/2011,85.9
06/2011,361
07/2011,121.6
08/2011,101
09/2011,83.3
10/2011,75.2
11/2011,103.3
12/2011,931.3
01/2012,69.2
02/2012,83
03/2012,97.5
04/2012,97.2
05/2012,84.9
06/2012,90
07/2012,101.9
08/2012,508.2
09/2012,87.3
10/2012,97.9
11/2012,82.8
12/2012,90.2
01/2013,89.5
02/2013,77.9
03/2013,89.6
04/2013,118.8
05/2013,102.3
06/2013,105.5
07/2013,125.9
08/2013,112.3
09/2013,93.4
10/2013,100.2
11/2013,85.7
12/2013,84.4
01/2014,88.5
02/2014,76.5
03/2014,89.5
04/2014,121.1
05/2014,102.5
06/2014,96.9
07/2014,116.3
08/2014,109.8
09/2014,116.3
10/2014,118.1
11/2014,100.6
12/2014,133
01/2015,116.1
02/2015,107.8
03/2015,132.7
04/2015,137.8
05/2015,146
06/2015,240.9
07/2015,394.5
08/2015,155.5
09/2015,145.4
10/2015,140.4
11/2015,120.4
12/2015,126.9
01/2016,125.2
02/2016,96.6
03/2016,108.1
04/2016,117.8
05/2016,110
06/2016,234
07/2016,175.8
08/2016,130.3
09/2016,108.3
10/2016,163.6
11/2016,113.8
12/2016,144.3
01/2017,145.8
02/2017,95.9
03/2017,141.5
04/2017,157.5
05/2017,156.5
06/2017,129
07/2017,195.4
08/2017,186.7
09/2017,242.5
10/2017,106.7
11/2017,88
12/2017,121.9
01/2018,91.4
02/2018,80.1
03/2018,128.9
04/2018,120.9
05/2018,135.9
06/2018,116.2
07/2018,170
08/2018,198
09/2018,140.8
10/2018,123.4
11/2018,119.5
12/2018,130.3
01/2019,149.6
02/2019,108.9
03/2019,152.2
04/2019,171.1
05/2019,180.1
06/2019,177.2
07/2019,181.9
08/2019,176.9
09/2019,165.8
10/2019,185.1
11/2019,150.5
12/2019,132.5
01/2020,133.2
02/2020,142.2
03/2020,209.1
04/2020,164.6
05/2020,109
06/2020,125.6
07/2020,165.6
08/2020,148
09/2020,147
10/2020,162.3
11/2020,120
12/2020,142.1
01/2021,131.4
02/2021,111
03/2021,165.5
04/2021,159.7
05/2021,144.8
06/2021,160.1
07/2021,209.9
08/2021,233.4
09/2021,218.6
10/2021,208.6
11/2021,191.2
12/2021,249.2
01/2022,212.6
02/2022,200.5
03/2022,225.6
04/2022,221.7
05/2022,233.5
06/2022,277.7
07/2022,374.2
08/2022,258.4
09/2022,231.4
10/2022,282.6
11/2022,277.1
12/2022,224.9
01/2023,214.3
02/2023,261.2
03/2023,299.7
04/2023,319.9
05/2023,410.6
06/2023,239.9
07/2023,404.9
08/2023,520.7
09/2023,463.3
10/2023,212.8
11/2023,168.9
12/2023,282.8
01/2024,159.7
02/2024,284.1
03/2024,273.1
04/2024,428.8
05/2024,384.7
06/2024,490.8
07/2024,669.5
08/2024,827
09/2024,609.5
10/2024,608
11/2024,277
12/2024,902.1
01/2025,208.5
02/2025,743.3
03/2025,663.3
04/2025,1415.9
05/2025,787.1
06/2025,1816.2
07/2025,1066.1
08/2025,845.9
09/2025,599.4
10/2025,988.1
11/2025,425
12/2025,329.4
01/2026,2358.1