,出口：日本
区域,新加坡
次国家,
频率,月
单位,百万新加坡元
数据来源,Enterprise Singapore
状态,继续
数列ID,36422501 (SJFH)
SR码,SR520887
贸易代码,
助记符,
函数说明,
首次观测日期,01/1976
最后观测日期,01/2026
最后更新时间,16/02/2026
数列备注,
建议,
平均 MEAN,1239.6419201331119
方差,488274.1408918265
标准差,698.7661560864453
偏度,-0.10086163795001064
峰度,-1.3855716480792721
变异系数,0.5636838709128297
最小,104.178
最大,2673.3
中位数,1313
总和 SUM,745024.7940000002
减 SUBTRACT,-2569.1220000000003
参照期间,601
01/1976,130.744
02/1976,107.053
03/1976,130.205
04/1976,135.849
05/1976,142.944
06/1976,104.178
07/1976,162.027
08/1976,135.335
09/1976,174.935
10/1976,155.85
11/1976,119.085
12/1976,170.598
01/1977,123.928
02/1977,122.073
03/1977,175.822
04/1977,128.701
05/1977,115.662
06/1977,187.648
07/1977,161.005
08/1977,199.345
09/1977,162.486
10/1977,166.648
11/1977,210.441
12/1977,164.359
01/1978,165.365
02/1978,119.097
03/1978,212.777
04/1978,178.061
05/1978,163.591
06/1978,188.807
07/1978,196.271
08/1978,186.209
09/1978,263.633
10/1978,178.288
11/1978,199.989
12/1978,173.915
01/1979,187.048
02/1979,171.625
03/1979,213.893
04/1979,194.835
05/1979,235.567
06/1979,186.28
07/1979,289.941
08/1979,297.596
09/1979,286.007
10/1979,295.378
11/1979,309.342
12/1979,300.165
01/1980,252.737
02/1980,256.669
03/1980,337.6
04/1980,305.42
05/1980,334.804
06/1980,310.248
07/1980,354.691
08/1980,179.217
09/1980,237.398
10/1980,232.811
11/1980,316.15
12/1980,220.533
01/1981,291.727
02/1981,304.739
03/1981,301.087
04/1981,314.068
05/1981,346.193
06/1981,308.961
07/1981,419.974
08/1981,428.422
09/1981,497.974
10/1981,364.706
11/1981,442.321
12/1981,467.416
01/1982,323.141
02/1982,385.308
03/1982,369.704
04/1982,479.965
05/1982,458.427
06/1982,341.105
07/1982,460.423
08/1982,420.849
09/1982,435.568
10/1982,378.639
11/1982,380.978
12/1982,409.782
01/1983,387.048
02/1983,305.676
03/1983,358.7
04/1983,289.163
05/1983,291.746
06/1983,385.959
07/1983,281.124
08/1983,390.506
09/1983,452.092
10/1983,295.6
11/1983,359.053
12/1983,447.718
01/1984,570.681
02/1984,447.412
03/1984,476.454
04/1984,345.756
05/1984,409.846
06/1984,335.405
07/1984,408.23
08/1984,411.101
09/1984,312.834
10/1984,427.502
11/1984,321.836
12/1984,339.64
01/1985,380.282
02/1985,428.806
03/1985,412.158
04/1985,346.485
05/1985,368.772
06/1985,401.32
07/1985,316.486
08/1985,467.056
09/1985,389.429
10/1985,413.256
11/1985,439.491
12/1985,358.639
01/1986,309.232
02/1986,323.661
03/1986,362.599
04/1986,373.8
05/1986,307.591
06/1986,326.527
07/1986,358.965
08/1986,365.384
09/1986,354.583
10/1986,331.035
11/1986,353.089
12/1986,437.922
01/1987,403.867
02/1987,324.203
03/1987,330.498
04/1987,403.688
05/1987,401.488
06/1987,429.132
07/1987,438.269
08/1987,458.258
09/1987,614.209
10/1987,485.23
11/1987,533.864
12/1987,626.557
01/1988,523.993
02/1988,487.942
03/1988,510.047
04/1988,539.917
05/1988,533.539
06/1988,637.444
07/1988,677.107
08/1988,574.239
09/1988,547.088
10/1988,573.514
11/1988,611.296
12/1988,611.636
01/1989,618.182
02/1989,514.556
03/1989,612.208
04/1989,584.86
05/1989,659.216
06/1989,669.171
07/1989,623.162
08/1989,625.341
09/1989,578.882
10/1989,577.14
11/1989,727.225
12/1989,657.739
01/1990,658.44
02/1990,555.969
03/1990,694.397
04/1990,508.272
05/1990,593.954
06/1990,630.141
07/1990,616.486
08/1990,739.778
09/1990,690.398
10/1990,975.258
11/1990,873.561
12/1990,764.869
01/1991,665.637
02/1991,671.853
03/1991,714.257
04/1991,670.466
05/1991,738.56
06/1991,774.597
07/1991,825.789
08/1991,778.941
09/1991,717.99
10/1991,763.12
11/1991,846.544
12/1991,668.676
01/1992,712.167
02/1992,589.261
03/1992,652.464
04/1992,561.267
05/1992,558.801
06/1992,650.979
07/1992,632.477
08/1992,604.021
09/1992,634.101
10/1992,759.806
11/1992,748.971
12/1992,752.359
01/1993,597.235
02/1993,674.026
03/1993,834.63
04/1993,779.313
05/1993,718.393
06/1993,740.586
07/1993,799.417
08/1993,699.805
09/1993,849.92
10/1993,702.627
11/1993,758.609
12/1993,766.777
01/1994,794.555
02/1994,628.068
03/1994,944.656
04/1994,847.769
05/1994,929.445
06/1994,952.881
07/1994,843.737
08/1994,919.464
09/1994,836.212
10/1994,854.949
11/1994,899.343
12/1994,891.483
01/1995,906.83
02/1995,831.769
03/1995,1042.404
04/1995,908.3
05/1995,1028.157
06/1995,1106.55
07/1995,1167.814
08/1995,1148.183
09/1995,1186.27
10/1995,1238.911
11/1995,1327.86
12/1995,1173.152
01/1996,1228.016
02/1996,1042.696
03/1996,1349.745
04/1996,1155.003
05/1996,1423.718
06/1996,1235.701
07/1996,1144.121
08/1996,1050.647
09/1996,1044.59
10/1996,1249.618
11/1996,1266.819
12/1996,1264.031
01/1997,1143.185
02/1997,886.553
03/1997,1075.408
04/1997,1055.236
05/1997,1106.18
06/1997,1129.949
07/1997,1094.56
08/1997,1032.973
09/1997,1137.861
10/1997,1178.293
11/1997,1133.788
12/1997,1150.522
01/1998,1013.68
02/1998,1107.94
03/1998,1088.114
04/1998,884.172
05/1998,937.662
06/1998,1061.91
07/1998,925.626
08/1998,956.258
09/1998,1032.09
10/1998,999.869
11/1998,1069.62
12/1998,1012.731
01/1999,951.886
02/1999,959.464
03/1999,1237.031
04/1999,1120.511
05/1999,1110.474
06/1999,1466.824
07/1999,1100.711
08/1999,1036.676
09/1999,1175.363
10/1999,1305.968
11/1999,1384.208
12/1999,1571.625
01/2000,1174.872
02/2000,1248.542
03/2000,1552.142
04/2000,1370.253
05/2000,1438.912
06/2000,1535.628
07/2000,1449.89
08/2000,1514.304
09/2000,1508.437
10/2000,1806.721
11/2000,1672.473
12/2000,1676.54
01/2001,1570.954
02/2001,1530.212
03/2001,1585.185
04/2001,1492.986
05/2001,1587.53
06/2001,1529.444
07/2001,1296.542
08/2001,1211.813
09/2001,1144.389
10/2001,1341.246
11/2001,1239.131
12/2001,1182.82
01/2002,1338.644
02/2002,1198.529
03/2002,1292.301
04/2002,1412.261
05/2002,1366.972
06/2002,1326.485
07/2002,1319.041
08/2002,1274.144
09/2002,1305.613
10/2002,1471.212
11/2002,1376.539
12/2002,1308.421
01/2003,1426.6
02/2003,1123.8
03/2003,1405.9
04/2003,1279.2
05/2003,1403.6
06/2003,1313
07/2003,1301.5
08/2003,1264
09/2003,1538.4
10/2003,1565.5
11/2003,1571.7
12/2003,1682.3
01/2004,1463
02/2004,1352
03/2004,1692.3
04/2004,1490.1
05/2004,1511.6
06/2004,1601
07/2004,1644.5
08/2004,1655
09/2004,1829.4
10/2004,1837.5
11/2004,1630.3
12/2004,1826.5
01/2005,1498
02/2005,1578.6
03/2005,1849.9
04/2005,1544.5
05/2005,1574.1
06/2005,1741.7
07/2005,1803.1
08/2005,1839.8
09/2005,1767.7
10/2005,1984
11/2005,1863.9
12/2005,1861.3
01/2006,1780.1
02/2006,1920.5
03/2006,2194
04/2006,1809.4
05/2006,1958.1
06/2006,2048.4
07/2006,1896
08/2006,2031.4
09/2006,2024.4
10/2006,1958.4
11/2006,1989.8
12/2006,1978.8
01/2007,1706
02/2007,1559.5
03/2007,1849.7
04/2007,1673
05/2007,1793.8
06/2007,2043.7
07/2007,1822.8
08/2007,1804.3
09/2007,1738.9
10/2007,1945.9
11/2007,1940.8
12/2007,1784.2
01/2008,2047.2
02/2008,1905.4
03/2008,2096.7
04/2008,2203.9
05/2008,2120.4
06/2008,2135.1
07/2008,1890.6
08/2008,1791
09/2008,1984.8
10/2008,1900.7
11/2008,1741.3
12/2008,1669.9
01/2009,1380.9
02/2009,1273.2
03/2009,1454.8
04/2009,1385.3
05/2009,1248.6
06/2009,1571.7
07/2009,1450.4
08/2009,1472.3
09/2009,1614.2
10/2009,1708.7
11/2009,1544
12/2009,1700.1
01/2010,1678.1
02/2010,1512.2
03/2010,1953
04/2010,1818.6
05/2010,1969.3
06/2010,2038.8
07/2010,1858.7
08/2010,1763
09/2010,1915.8
10/2010,2037.8
11/2010,1775.3
12/2010,2011.5
01/2011,1768.8
02/2011,1547.4
03/2011,1863.7
04/2011,1846.2
05/2011,1930.2
06/2011,1901.2
07/2011,1878.9
08/2011,1795.2
09/2011,2057.1
10/2011,2149.5
11/2011,2090.5
12/2011,2266.3
01/2012,1835
02/2012,1969
03/2012,1995.1
04/2012,1812.6
05/2012,1887.6
06/2012,1982.5
07/2012,1831.5
08/2012,1861.6
09/2012,1932.2
10/2012,1891.3
11/2012,1861.7
12/2012,1735.6
01/2013,1761.3
02/2013,1600.9
03/2013,1885.9
04/2013,1879.6
05/2013,1828.5
06/2013,1642.1
07/2013,1927.1
08/2013,1871.1
09/2013,1905
10/2013,2025.7
11/2013,1900.1
12/2013,1770.6
01/2014,1947.7
02/2014,1815.6
03/2014,2069.2
04/2014,2008
05/2014,1696.4
06/2014,1622.4
07/2014,1628.1
08/2014,1679.5
09/2014,1567.7
10/2014,1888
11/2014,1641.3
12/2014,1643.6
01/2015,1835.9
02/2015,1531.9
03/2015,1855.3
04/2015,1700
05/2015,1517.8
06/2015,1767.9
07/2015,1683
08/2015,1723.6
09/2015,1760.2
10/2015,2073.3
11/2015,1666.1
12/2015,1890.2
01/2016,1572.2
02/2016,1525.3
03/2016,1923.1
04/2016,1702.3
05/2016,1490.8
06/2016,1697.7
07/2016,1626.4
08/2016,1534.9
09/2016,1782.3
10/2016,1721.2
11/2016,1721.4
12/2016,1813.4
01/2017,1833.5
02/2017,1826.4
03/2017,2004.1
04/2017,1771.6
05/2017,1917
06/2017,2096.8
07/2017,2010.1
08/2017,2040.6
09/2017,1969.2
10/2017,2069.8
11/2017,2033.2
12/2017,1961.8
01/2018,2179
02/2018,2049.4
03/2018,2317.6
04/2018,2037.4
05/2018,2063.8
06/2018,2189.9
07/2018,2575
08/2018,2354.9
09/2018,2262.6
10/2018,2475
11/2018,2421.6
12/2018,2055
01/2019,2181.6
02/2019,1714.2
03/2019,2034.1
04/2019,1855.6
05/2019,1863.1
06/2019,1985.4
07/2019,2169.2
08/2019,1853.5
09/2019,2100.5
10/2019,2270
11/2019,2012.5
12/2019,2015.9
01/2020,2155.3
02/2020,1980.3
03/2020,2246.8
04/2020,2314.4
05/2020,1949.9
06/2020,2220
07/2020,2098.4
08/2020,1744.1
09/2020,1946.6
10/2020,2045.9
11/2020,1968.6
12/2020,1975
01/2021,1777.8
02/2021,1752.7
03/2021,2045.4
04/2021,1965.3
05/2021,1855.4
06/2021,1919.7
07/2021,2207.9
08/2021,2156.6
09/2021,2144.3
10/2021,2144.3
11/2021,2207.1
12/2021,2462
01/2022,2225.7
02/2022,2195.4
03/2022,2673.3
04/2022,2464.5
05/2022,2329.5
06/2022,2472.9
07/2022,2327.1
08/2022,2311.8
09/2022,2481.4
10/2022,2406.7
11/2022,2504.5
12/2022,2271.6
01/2023,2126.1
02/2023,2221.3
03/2023,2358.7
04/2023,1855.8
05/2023,2089.8
06/2023,1902.7
07/2023,2116.3
08/2023,2156.8
09/2023,2137.9
10/2023,2564.3
11/2023,2339.1
12/2023,2112.7
01/2024,1937.7
02/2024,1734.9
03/2024,1763.6
04/2024,1819
05/2024,1887.7
06/2024,1955.1
07/2024,2084.9
08/2024,2153.7
09/2024,2027.7
10/2024,2101.9
11/2024,2032.1
12/2024,2208.6
01/2025,2127.5
02/2025,1799.4
03/2025,1904
04/2025,1919
05/2025,1975.1
06/2025,1860.2
07/2025,1906.9
08/2025,1798.8
09/2025,1999
10/2025,2064.6
11/2025,1947.5
12/2025,1847.3
01/2026,2247