,出口：泰国
区域,新加坡
次国家,
频率,月
单位,百万新加坡元
数据来源,Enterprise Singapore
状态,继续
数列ID,36422201 (SJFE)
SR码,SR520895
贸易代码,
助记符,
函数说明,
首次观测日期,01/1976
最后观测日期,01/2026
最后更新时间,16/02/2026
数列备注,
建议,
平均 MEAN,1001.860394342761
方差,577840.1911022258
标准差,760.1580040374671
偏度,1.1327640317769012
峰度,3.819732785699853
变异系数,0.7587464364594878
最小,30.686
最大,6171.1
中位数,833.188
总和 SUM,602118.0969999996
减 SUBTRACT,-6140.414000000001
参照期间,601
01/1976,44.796
02/1976,31.867
03/1976,48.372
04/1976,52.854
05/1976,49.975
06/1976,34.262
07/1976,35.561
08/1976,33.179
09/1976,41.163
10/1976,32.526
11/1976,37.672
12/1976,43.761
01/1977,30.686
02/1977,32.297
03/1977,39.882
04/1977,44.293
05/1977,45.539
06/1977,42.548
07/1977,47.259
08/1977,46.77
09/1977,50.118
10/1977,43.375
11/1977,58.392
12/1977,80.963
01/1978,53.527
02/1978,66.892
03/1978,77.515
04/1978,82.196
05/1978,49.678
06/1978,67.457
07/1978,62.265
08/1978,105.477
09/1978,66.083
10/1978,82.717
11/1978,102.698
12/1978,77.631
01/1979,111.357
02/1979,103.641
03/1979,95.581
04/1979,83.103
05/1979,118.171
06/1979,90.107
07/1979,91.411
08/1979,115.609
09/1979,101.654
10/1979,113.278
11/1979,154.644
12/1979,141.931
01/1980,122.511
02/1980,163.991
03/1980,176.465
04/1980,176.321
05/1980,167.919
06/1980,122.18
07/1980,182.545
08/1980,126.401
09/1980,94.415
10/1980,140.672
11/1980,128.71
12/1980,207.19
01/1981,199.663
02/1981,231.659
03/1981,210.814
04/1981,188.449
05/1981,184.755
06/1981,120.327
07/1981,145.437
08/1981,162.025
09/1981,92.12
10/1981,140.257
11/1981,85.83
12/1981,103.238
01/1982,123.786
02/1982,155.507
03/1982,183.944
04/1982,164.02
05/1982,126.517
06/1982,148.273
07/1982,160.009
08/1982,98.594
09/1982,97.402
10/1982,137.761
11/1982,145.658
12/1982,166.524
01/1983,122.42
02/1983,198.342
03/1983,233.871
04/1983,153.951
05/1983,139.981
06/1983,178.105
07/1983,184.54
08/1983,161.212
09/1983,177.021
10/1983,179.251
11/1983,134.107
12/1983,131.885
01/1984,217.458
02/1984,216.714
03/1984,208.221
04/1984,230.888
05/1984,225.06
06/1984,220.52
07/1984,284.541
08/1984,198.16
09/1984,163.302
10/1984,163.192
11/1984,144.216
12/1984,185.874
01/1985,247.208
02/1985,272.489
03/1985,172.581
04/1985,146.74
05/1985,149.663
06/1985,193.763
07/1985,174.26
08/1985,166.883
09/1985,146.046
10/1985,128.758
11/1985,151.309
12/1985,142.753
01/1986,117.456
02/1986,212.544
03/1986,110.563
04/1986,163.894
05/1986,162.825
06/1986,120.286
07/1986,158.383
08/1986,152.821
09/1986,146.891
10/1986,126.519
11/1986,183.368
12/1986,132.166
01/1987,140.333
02/1987,179.749
03/1987,184.637
04/1987,203.311
05/1987,185.783
06/1987,210.485
07/1987,227.137
08/1987,229.467
09/1987,293.329
10/1987,228.33
11/1987,228.814
12/1987,242.15
01/1988,300.719
02/1988,300.376
03/1988,353.393
04/1988,373.325
05/1988,414.298
06/1988,398.693
07/1988,347.034
08/1988,337.603
09/1988,354.794
10/1988,375.513
11/1988,366.52
12/1988,388.964
01/1989,318.7
02/1989,361.063
03/1989,457.427
04/1989,457.988
05/1989,406.57
06/1989,420.374
07/1989,375.51
08/1989,364.995
09/1989,360.515
10/1989,387.815
11/1989,466.122
12/1989,428.626
01/1990,474.364
02/1990,517.255
03/1990,582.979
04/1990,477.024
05/1990,573.697
06/1990,456.945
07/1990,460.714
08/1990,473.631
09/1990,584.061
10/1990,599.006
11/1990,557.866
12/1990,552.769
01/1991,647.851
02/1991,567.287
03/1991,560.053
04/1991,495.938
05/1991,544.382
06/1991,531.041
07/1991,614.449
08/1991,478.305
09/1991,483.173
10/1991,524.018
11/1991,463.493
12/1991,490.639
01/1992,514.059
02/1992,444.671
03/1992,570.801
04/1992,498.776
05/1992,571.636
06/1992,610.259
07/1992,627.858
08/1992,519.081
09/1992,498.155
10/1992,504.296
11/1992,489.314
12/1992,592.888
01/1993,538.924
02/1993,564.767
03/1993,612.459
04/1993,605.862
05/1993,552.98
06/1993,530.353
07/1993,577.512
08/1993,575.011
09/1993,569.042
10/1993,523.714
11/1993,584.788
12/1993,569.524
01/1994,530.718
02/1994,488.067
03/1994,655.54
04/1994,618.036
05/1994,696.321
06/1994,784.195
07/1994,697.073
08/1994,740.946
09/1994,681.889
10/1994,675.265
11/1994,900.838
12/1994,717.402
01/1995,762.808
02/1995,660.441
03/1995,843.201
04/1995,731.362
05/1995,829.955
06/1995,840.738
07/1995,828.397
08/1995,863.99
09/1995,812.982
10/1995,852.065
11/1995,830.475
12/1995,815.357
01/1996,884.835
02/1996,811.055
03/1996,1076.906
04/1996,930.499
05/1996,869.042
06/1996,782.765
07/1996,818.953
08/1996,769.317
09/1996,762.173
10/1996,829.504
11/1996,724.857
12/1996,746.255
01/1997,811.403
02/1997,653.532
03/1997,807.986
04/1997,738.677
05/1997,764.351
06/1997,722.898
07/1997,743.067
08/1997,674.681
09/1997,741.728
10/1997,692.332
11/1997,596.182
12/1997,585.599
01/1998,614.204
02/1998,573.65
03/1998,648.48
04/1998,565.771
05/1998,566.53
06/1998,595.843
07/1998,623.141
08/1998,561.096
09/1998,577.66
10/1998,572.466
11/1998,571.386
12/1998,566.993
01/1999,541.966
02/1999,545.225
03/1999,709.17
04/1999,685.901
05/1999,695.613
06/1999,697.262
07/1999,754.388
08/1999,751.857
09/1999,780.246
10/1999,817.456
11/1999,791.033
12/1999,765.823
01/2000,712.031
02/2000,760.419
03/2000,811.423
04/2000,757.309
05/2000,867.187
06/2000,907.465
07/2000,899.553
08/2000,882.412
09/2000,882.821
10/2000,915.332
11/2000,914.884
12/2000,810.832
01/2001,863.809
02/2001,803.199
03/2001,878.595
04/2001,774.308
05/2001,790.1
06/2001,831.762
07/2001,792.767
08/2001,754.162
09/2001,677.686
10/2001,812.469
11/2001,811.263
12/2001,696.512
01/2002,823.232
02/2002,761.196
03/2002,892.994
04/2002,928.977
05/2002,928.54
06/2002,833.188
07/2002,990.711
08/2002,862.884
09/2002,844.962
10/2002,893.168
11/2002,899.204
12/2002,730.368
01/2003,910.8
02/2003,746.7
03/2003,908.4
04/2003,814
05/2003,817.6
06/2003,836.8
07/2003,950.1
08/2003,898.3
09/2003,927.9
10/2003,1041.4
11/2003,902.6
12/2003,991.4
01/2004,955.8
02/2004,991.5
03/2004,1139.6
04/2004,980.3
05/2004,1032.4
06/2004,1086.4
07/2004,1132.4
08/2004,1172.5
09/2004,1144
10/2004,1176.2
11/2004,1158.5
12/2004,1116.6
01/2005,1120.5
02/2005,1052.2
03/2005,1328
04/2005,1296.8
05/2005,1267.9
06/2005,1339.7
07/2005,1358
08/2005,1394.8
09/2005,1288.1
10/2005,1428.7
11/2005,1425.5
12/2005,1400.5
01/2006,1338.7
02/2006,1365.3
03/2006,1691.7
04/2006,1378.2
05/2006,1521.6
06/2006,1558.3
07/2006,1574.5
08/2006,1514.1
09/2006,1531.1
10/2006,1681.1
11/2006,1590.2
12/2006,1505.2
01/2007,1607.8
02/2007,1344.5
03/2007,1634.1
04/2007,1519.7
05/2007,1609.6
06/2007,1562
07/2007,1728.3
08/2007,1614.2
09/2007,1514
10/2007,1707.5
11/2007,1585.9
12/2007,1466.6
01/2008,1759.2
02/2008,1463.3
03/2008,1650.6
04/2008,1801.1
05/2008,1547.2
06/2008,1507.9
07/2008,1708
08/2008,1727.3
09/2008,1644.7
10/2008,1758.3
11/2008,1374.4
12/2008,1189.3
01/2009,981.8
02/2009,1094.4
03/2009,1170.7
04/2009,1098.4
05/2009,1180.4
06/2009,1221.2
07/2009,1393.4
08/2009,1235
09/2009,1291
10/2009,1352.1
11/2009,1253.5
12/2009,1386.9
01/2010,1389.3
02/2010,1298.5
03/2010,1581.4
04/2010,1436
05/2010,1454.3
06/2010,1442.6
07/2010,1510.5
08/2010,1476.4
09/2010,1378.3
10/2010,1415.6
11/2010,1435.1
12/2010,1470.6
01/2011,1667.1
02/2011,1306.5
03/2011,1636.7
04/2011,1459.5
05/2011,1501.3
06/2011,1553.3
07/2011,1523.2
08/2011,1523.2
09/2011,1573.4
10/2011,1396.4
11/2011,1332.2
12/2011,1281.8
01/2012,1751.9
02/2012,1751.2
03/2012,1678
04/2012,1597.2
05/2012,1770.2
06/2012,1614.5
07/2012,1854
08/2012,1576.5
09/2012,1574.5
10/2012,1647.6
11/2012,1551.5
12/2012,1643
01/2013,1671.5
02/2013,1337.4
03/2013,1560.6
04/2013,1744.4
05/2013,1769.3
06/2013,1610.3
07/2013,1758.8
08/2013,1743.6
09/2013,1564
10/2013,1690.3
11/2013,1417.1
12/2013,1363.2
01/2014,1598.8
02/2014,1444.7
03/2014,1629.3
04/2014,1624.5
05/2014,1650.8
06/2014,1593.5
07/2014,1680.6
08/2014,1578.2
09/2014,1956.4
10/2014,1785.9
11/2014,1600.1
12/2014,1524.8
01/2015,1688.6
02/2015,1551.2
03/2015,1790.1
04/2015,1618.8
05/2015,1538.7
06/2015,1577.4
07/2015,1715.3
08/2015,1440.6
09/2015,1634.3
10/2015,1681.7
11/2015,1516.7
12/2015,1594.2
01/2016,1565.8
02/2016,1397.5
03/2016,1717.9
04/2016,1534.6
05/2016,1546.5
06/2016,1637.1
07/2016,1394.7
08/2016,1471.3
09/2016,1558.9
10/2016,1846.3
11/2016,1583.7
12/2016,1757.1
01/2017,1660.1
02/2017,1580.1
03/2017,1975.2
04/2017,1584.8
05/2017,1730.8
06/2017,1701.8
07/2017,1948.6
08/2017,1684.8
09/2017,1543.9
10/2017,1653.7
11/2017,1701.1
12/2017,1505.5
01/2018,1728.3
02/2018,1416.8
03/2018,1794.8
04/2018,1709.9
05/2018,1763.4
06/2018,1591.8
07/2018,1837.2
08/2018,1821.4
09/2018,2040.4
10/2018,2054.7
11/2018,1808.5
12/2018,1425.6
01/2019,1726.6
02/2019,1555.9
03/2019,1661.1
04/2019,1627.9
05/2019,1613.4
06/2019,1590
07/2019,1959.4
08/2019,1649.9
09/2019,1826.1
10/2019,2011.6
11/2019,2094.1
12/2019,1630.9
01/2020,1689.7
02/2020,1703.6
03/2020,2504.5
04/2020,1408.7
05/2020,1215.7
06/2020,1309.2
07/2020,1452.4
08/2020,1573.9
09/2020,1592.5
10/2020,1722.2
11/2020,1708.7
12/2020,1582.6
01/2021,1906
02/2021,1410.1
03/2021,1841
04/2021,1691.1
05/2021,1660.8
06/2021,1782.4
07/2021,1710.3
08/2021,1907.1
09/2021,1727.7
10/2021,1629.9
11/2021,1714.9
12/2021,1988.8
01/2022,2225.1
02/2022,1645.4
03/2022,1997.5
04/2022,2071.3
05/2022,2033.1
06/2022,1931.6
07/2022,2197.4
08/2022,2254.9
09/2022,2241.1
10/2022,1965.6
11/2022,1762.6
12/2022,1790.4
01/2023,2311.3
02/2023,1813.8
03/2023,2101.7
04/2023,1871.9
05/2023,2168.5
06/2023,1762.1
07/2023,2229
08/2023,2460.8
09/2023,2129.8
10/2023,2435.6
11/2023,2372
12/2023,1991.4
01/2024,2916.2
02/2024,2256.9
03/2024,2652.6
04/2024,2801.7
05/2024,2602.6
06/2024,2442
07/2024,3024.6
08/2024,2197
09/2024,2101.1
10/2024,2396.5
11/2024,1801.5
12/2024,2105.3
01/2025,2057.7
02/2025,2306.6
03/2025,2042
04/2025,3114.7
05/2025,2125.3
06/2025,1826.7
07/2025,2994.6
08/2025,3271.5
09/2025,4335.2
10/2025,3570
11/2025,4520.1
12/2025,2725.9
01/2026,6171.1