,出口：越南
区域,新加坡
次国家,
频率,月
单位,百万新加坡元
数据来源,Enterprise Singapore
状态,继续
数列ID,76194902 (SJCUBX)
SR码,SR2328678
贸易代码,
助记符,
函数说明,
首次观测日期,01/1993
最后观测日期,01/2026
最后更新时间,16/02/2026
数列备注,
建议,
平均 MEAN,929.985297229218
方差,408389.7734543409
标准差,639.0538110788018
偏度,0.4722284339699079
峰度,-0.7194239852324325
变异系数,0.6871654992641149
最小,102.452
最大,2952.2
中位数,893.9
总和 SUM,369204.1630000001
减 SUBTRACT,-2849.7479999999996
参照期间,397
01/1993,110
02/1993,140.285
03/1993,126.025
04/1993,155.589
05/1993,131.089
06/1993,138.692
07/1993,102.452
08/1993,102.684
09/1993,133.035
10/1993,119.838
11/1993,125.456
12/1993,197.304
01/1994,126.672
02/1994,120.758
03/1994,142.464
04/1994,132.168
05/1994,187.139
06/1994,171.413
07/1994,143.405
08/1994,173.569
09/1994,192.29
10/1994,189.953
11/1994,218.485
12/1994,231.987
01/1995,198.159
02/1995,148.976
03/1995,254.194
04/1995,168.649
05/1995,207.44
06/1995,241.262
07/1995,208.648
08/1995,217.036
09/1995,228.533
10/1995,205.075
11/1995,251.713
12/1995,207.446
01/1996,220.549
02/1996,197.475
03/1996,212.959
04/1996,198.831
05/1996,212.25
06/1996,213.128
07/1996,182.41
08/1996,188.437
09/1996,187.883
10/1996,196.223
11/1996,193.232
12/1996,216.338
01/1997,228.196
02/1997,159.04
03/1997,184.76
04/1997,205.098
05/1997,204.549
06/1997,209.097
07/1997,210.629
08/1997,190.04
09/1997,185.689
10/1997,214.491
11/1997,228.689
12/1997,253.146
01/1998,227.365
02/1998,213.124
03/1998,212.605
04/1998,221.722
05/1998,213.979
06/1998,220.702
07/1998,214.193
08/1998,183.637
09/1998,189.594
10/1998,201.674
11/1998,201.607
12/1998,230.791
01/1999,174.26
02/1999,162.777
03/1999,200.315
04/1999,214.001
05/1999,201.595
06/1999,180.091
07/1999,202.102
08/1999,193.812
09/1999,261.778
10/1999,251.915
11/1999,220.962
12/1999,268.87
01/2000,221.231
02/2000,236.314
03/2000,250.321
04/2000,224.8
05/2000,264.186
06/2000,311.174
07/2000,284.194
08/2000,317.236
09/2000,357.772
10/2000,372.178
11/2000,385.105
12/2000,386.003
01/2001,335.439
02/2001,320.48
03/2001,318.784
04/2001,277.636
05/2001,357.151
06/2001,311.059
07/2001,314.779
08/2001,287.827
09/2001,283.098
10/2001,328.818
11/2001,315.283
12/2001,318.91
01/2002,397.334
02/2002,240.111
03/2002,282.18
04/2002,402.644
05/2002,333.794
06/2002,322.471
07/2002,289.154
08/2002,292.955
09/2002,297.876
10/2002,315.763
11/2002,289.629
12/2002,265.281
01/2003,297.7
02/2003,288.8
03/2003,355.8
04/2003,329.8
05/2003,380.7
06/2003,333.2
07/2003,337
08/2003,304.5
09/2003,374.6
10/2003,441.6
11/2003,309.4
12/2003,441.3
01/2004,407.8
02/2004,361
03/2004,383.9
04/2004,374.9
05/2004,386.4
06/2004,486.7
07/2004,542.2
08/2004,441.8
09/2004,482.7
10/2004,437.1
11/2004,449.6
12/2004,612.8
01/2005,499.9
02/2005,366.5
03/2005,598.6
04/2005,492.2
05/2005,734.5
06/2005,771.6
07/2005,503.1
08/2005,621
09/2005,726.5
10/2005,659.6
11/2005,698.2
12/2005,692.3
01/2006,518.9
02/2006,568
03/2006,872.7
04/2006,797.8
05/2006,950.6
06/2006,983.1
07/2006,750.9
08/2006,697.3
09/2006,697.5
10/2006,555.5
11/2006,627.6
12/2006,645.5
01/2007,765.1
02/2007,670
03/2007,688.9
04/2007,955.5
05/2007,815.6
06/2007,844.6
07/2007,782.6
08/2007,893.9
09/2007,782.9
10/2007,901.3
11/2007,797.6
12/2007,904.4
01/2008,1181.6
02/2008,896.7
03/2008,1116.4
04/2008,1072.2
05/2008,1251.8
06/2008,1324.6
07/2008,1212.7
08/2008,1015.1
09/2008,943.2
10/2008,803.1
11/2008,727
12/2008,766.2
01/2009,519
02/2009,676.1
03/2009,865.9
04/2009,877
05/2009,778.6
06/2009,884.6
07/2009,730.4
08/2009,847.5
09/2009,1136
10/2009,1035.8
11/2009,1022.5
12/2009,742.6
01/2010,994.4
02/2010,621.1
03/2010,953.9
04/2010,1015.4
05/2010,936.4
06/2010,898.9
07/2010,790.3
08/2010,786.4
09/2010,786.6
10/2010,664
11/2010,750.5
12/2010,863.3
01/2011,971.4
02/2011,759.2
03/2011,1290.5
04/2011,1219.1
05/2011,1161.1
06/2011,954
07/2011,850.3
08/2011,964.1
09/2011,1172.7
10/2011,1358.3
11/2011,1024.1
12/2011,1023.3
01/2012,879.9
02/2012,970.3
03/2012,1109.7
04/2012,1313.5
05/2012,1144
06/2012,1116.2
07/2012,1082.4
08/2012,1019.2
09/2012,1092.8
10/2012,1032.5
11/2012,978.5
12/2012,866.1
01/2013,958.3
02/2013,825.2
03/2013,1057.3
04/2013,1270.7
05/2013,1141.2
06/2013,1167.2
07/2013,1006.8
08/2013,1157.9
09/2013,1175.4
10/2013,1070.1
11/2013,938.4
12/2013,1160.4
01/2014,1064.4
02/2014,1109.1
03/2014,1330.3
04/2014,1362.7
05/2014,1302
06/2014,1424.8
07/2014,1351.6
08/2014,1367.4
09/2014,1366.2
10/2014,1310.3
11/2014,1165.6
12/2014,1325.5
01/2015,1621.9
02/2015,1077.7
03/2015,1960.3
04/2015,1569.7
05/2015,1301.6
06/2015,1285.5
07/2015,1271.7
08/2015,1039
09/2015,1247.1
10/2015,1458.9
11/2015,1380.2
12/2015,1442.8
01/2016,1328.2
02/2016,1133.3
03/2016,1342.3
04/2016,1354.5
05/2016,1286.7
06/2016,1175.6
07/2016,1269.7
08/2016,1336.8
09/2016,1254.2
10/2016,1398.5
11/2016,1329.4
12/2016,1470.7
01/2017,1041.9
02/2017,1480.7
03/2017,1578.3
04/2017,1582.4
05/2017,1532.2
06/2017,1593.3
07/2017,1336.2
08/2017,1495
09/2017,1141.1
10/2017,1229.2
11/2017,1483.3
12/2017,1469.7
01/2018,1368.1
02/2018,1053.8
03/2018,1436.3
04/2018,1151.4
05/2018,1457.9
06/2018,1457.3
07/2018,1329.1
08/2018,1463.7
09/2018,1113.4
10/2018,1594.4
11/2018,1363.2
12/2018,1439.8
01/2019,1431.5
02/2019,1391.7
03/2019,1480.6
04/2019,1441.4
05/2019,1584
06/2019,1413.2
07/2019,1403.6
08/2019,1647.9
09/2019,1319.1
10/2019,1576
11/2019,1508.6
12/2019,1484.9
01/2020,1361.1
02/2020,1528
03/2020,1378.3
04/2020,1013.5
05/2020,1222
06/2020,1563.8
07/2020,1533.7
08/2020,1463.7
09/2020,1499
10/2020,1433.3
11/2020,1517.6
12/2020,1636.8
01/2021,1766.1
02/2021,1402.8
03/2021,1758.1
04/2021,1771
05/2021,1582
06/2021,1741.8
07/2021,1648.7
08/2021,1742.4
09/2021,1715.7
10/2021,1704.4
11/2021,1928.3
12/2021,2274.2
01/2022,1798.4
02/2022,1770.4
03/2022,2236.4
04/2022,1922.5
05/2022,1872.7
06/2022,2151.7
07/2022,2086.9
08/2022,2259.1
09/2022,2375.8
10/2022,1730.6
11/2022,1568.7
12/2022,1958.8
01/2023,1938.9
02/2023,1993.8
03/2023,1876.5
04/2023,1688.5
05/2023,1768.1
06/2023,1786.1
07/2023,2046.9
08/2023,2057.9
09/2023,1822.9
10/2023,1681.4
11/2023,1789.6
12/2023,1916.2
01/2024,2225.7
02/2024,1715
03/2024,1937.1
04/2024,1710.3
05/2024,1795.1
06/2024,1840.4
07/2024,2376.4
08/2024,1861.6
09/2024,1495.9
10/2024,2036.6
11/2024,1810.1
12/2024,2286.7
01/2025,2599.3
02/2025,2453.1
03/2025,2207.9
04/2025,2142.5
05/2025,2297.5
06/2025,2257.9
07/2025,2390.7
08/2025,1949.7
09/2025,2172.9
10/2025,2202
11/2025,1812.6
12/2025,2321
01/2026,2952.2