,进口：中国
区域,新加坡
次国家,
频率,月
单位,百万新加坡元
数据来源,Enterprise Singapore
状态,继续
数列ID,36416201 (SJCD)
SR码,SR739128
贸易代码,
助记符,
函数说明,
首次观测日期,01/1976
最后观测日期,01/2026
最后更新时间,16/02/2026
数列备注,[COVID-19-IMPACT]
建议,
平均 MEAN,2365.200653910152
方差,5654173.670618487
标准差,2377.8506409399406
偏度,0.6413174360178646
峰度,-1.011960212942907
变异系数,1.005348377952152
最小,30.194
最大,8510.2
中位数,1056.792
总和 SUM,1421485.5929999987
减 SUBTRACT,-8480.006000000001
参照期间,601
01/1976,87.683
02/1976,44.139
03/1976,55.235
04/1976,52.569
05/1976,30.194
06/1976,44.813
07/1976,62.913
08/1976,54.613
09/1976,49.989
10/1976,59.584
11/1976,69.076
12/1976,48.185
01/1977,65.543
02/1977,55.759
03/1977,52.763
04/1977,46.995
05/1977,45.975
06/1977,58.075
07/1977,63.572
08/1977,49.975
09/1977,65.079
10/1977,63.238
11/1977,44.568
12/1977,58.856
01/1978,68.586
02/1978,65.782
03/1978,50.16
04/1978,48.618
05/1978,48.994
06/1978,64.645
07/1978,65.611
08/1978,66.589
09/1978,83.52
10/1978,69.76
11/1978,78.031
12/1978,65.213
01/1979,67.538
02/1979,45.972
03/1979,81.575
04/1979,58.99
05/1979,74.055
06/1979,93.544
07/1979,66.79
08/1979,84.122
09/1979,79.477
10/1979,84.17
11/1979,91.265
12/1979,66.643
01/1980,132.776
02/1980,93.725
03/1980,84.544
04/1980,74.976
05/1980,79.987
06/1980,142.645
07/1980,116.96
08/1980,115.492
09/1980,96.444
10/1980,121.354
11/1980,118.231
12/1980,155.015
01/1981,142.401
02/1981,123.997
03/1981,117.16
04/1981,106.557
05/1981,142.762
06/1981,126.375
07/1981,123.349
08/1981,121.438
09/1981,168.704
10/1981,120.143
11/1981,171.613
12/1981,165.321
01/1982,214.485
02/1982,102.544
03/1982,158.879
04/1982,151.862
05/1982,161.856
06/1982,188.148
07/1982,153.431
08/1982,119.225
09/1982,157.394
10/1982,157.126
11/1982,152.652
12/1982,163.411
01/1983,185.515
02/1983,183.333
03/1983,121.075
04/1983,130.158
05/1983,102.062
06/1983,118.496
07/1983,136.04
08/1983,146.718
09/1983,183.897
10/1983,155.079
11/1983,162.182
12/1983,122.604
01/1984,185.913
02/1984,131.681
03/1984,155.713
04/1984,229.411
05/1984,178.031
06/1984,213.037
07/1984,200.114
08/1984,187.156
09/1984,303.707
10/1984,451.591
11/1984,357.474
12/1984,287.291
01/1985,279.728
02/1985,324.634
03/1985,301.106
04/1985,398.886
05/1985,362.698
06/1985,475.488
07/1985,472.18
08/1985,356.556
09/1985,439.298
10/1985,560.553
11/1985,516.545
12/1985,483.986
01/1986,379.077
02/1986,234.198
03/1986,274.337
04/1986,266.722
05/1986,186.978
06/1986,227.218
07/1986,266.924
08/1986,234.404
09/1986,245.303
10/1986,232.997
11/1986,287.832
12/1986,273.59
01/1987,263.107
02/1987,240.633
03/1987,179.519
04/1987,233.592
05/1987,280.043
06/1987,274.86
07/1987,264.76
08/1987,192.639
09/1987,303.368
10/1987,238.346
11/1987,282.517
12/1987,222.421
01/1988,324.134
02/1988,261.161
03/1988,231.246
04/1988,220.666
05/1988,284.536
06/1988,294.952
07/1988,267.072
08/1988,333.266
09/1988,280.22
10/1988,253.72
11/1988,329.731
12/1988,304.897
01/1989,240.844
02/1989,164.408
03/1989,288.919
04/1989,279.712
05/1989,311.946
06/1989,271.372
07/1989,262.876
08/1989,344.296
09/1989,306.901
10/1989,284.377
11/1989,283.112
12/1989,272.068
01/1990,351.564
02/1990,231.97
03/1990,228.779
04/1990,269.159
05/1990,315.191
06/1990,301.668
07/1990,262.603
08/1990,363.097
09/1990,367.069
10/1990,349.127
11/1990,409.269
12/1990,323.91
01/1991,324.983
02/1991,324.984
03/1991,235.276
04/1991,289.778
05/1991,331.558
06/1991,323.508
07/1991,375.806
08/1991,367.501
09/1991,340.335
10/1991,304.019
11/1991,326.46
12/1991,294.61
01/1992,312.577
02/1992,250.326
03/1992,316.683
04/1992,266.749
05/1992,248.607
06/1992,317.022
07/1992,341.084
08/1992,304.003
09/1992,290.346
10/1992,362.221
11/1992,319.379
12/1992,338.588
01/1993,302.74
02/1993,216.584
03/1993,284.339
04/1993,327.462
05/1993,342.896
06/1993,315.087
07/1993,323.315
08/1993,343.349
09/1993,368.416
10/1993,321.637
11/1993,353.942
12/1993,377.372
01/1994,374.931
02/1994,257.45
03/1994,320.227
04/1994,345.581
05/1994,363.322
06/1994,360.17
07/1994,390.57
08/1994,339.998
09/1994,394.743
10/1994,377.104
11/1994,430.695
12/1994,457.202
01/1995,450.689
02/1995,302.349
03/1995,439.364
04/1995,496.719
05/1995,561.318
06/1995,475.702
07/1995,505.117
08/1995,471.585
09/1995,459.966
10/1995,505.74
11/1995,540.737
12/1995,520.25
01/1996,556.232
02/1996,387.962
03/1996,387.865
04/1996,464.57
05/1996,473.975
06/1996,490.791
07/1996,551.581
08/1996,523.101
09/1996,566.097
10/1996,613.098
11/1996,625.812
12/1996,617.693
01/1997,659.343
02/1997,395.351
03/1997,596.855
04/1997,603.427
05/1997,645.304
06/1997,706.657
07/1997,728.635
08/1997,735.101
09/1997,829.084
10/1997,843.647
11/1997,790.925
12/1997,912.278
01/1998,710.81
02/1998,549.413
03/1998,633.907
04/1998,629.298
05/1998,646.512
06/1998,703.858
07/1998,729.681
08/1998,765.414
09/1998,714.271
10/1998,717.396
11/1998,639.442
12/1998,682.591
01/1999,671.077
02/1999,562.152
03/1999,734.341
04/1999,752.298
05/1999,811.24
06/1999,866.915
07/1999,813.722
08/1999,882.658
09/1999,836.773
10/1999,802.294
11/1999,938.172
12/1999,977.228
01/2000,796.724
02/2000,654.833
03/2000,1018.418
04/2000,951.84
05/2000,1007.206
06/2000,1136.974
07/2000,1056.792
08/2000,1136.274
09/2000,1136.483
10/2000,1101.513
11/2000,1131.816
12/2000,1149.852
01/2001,989.028
02/2001,878.865
03/2001,1104.035
04/2001,1047.466
05/2001,1005.15
06/2001,1180.166
07/2001,1162.763
08/2001,1187.163
09/2001,977.151
10/2001,1053.054
11/2001,1109.79
12/2001,1205.706
01/2002,1200.895
02/2002,1016.343
03/2002,1198.137
04/2002,1338.93
05/2002,1267.732
06/2002,1367.478
07/2002,1428.062
08/2002,1421.522
09/2002,1416.68
10/2002,1371.549
11/2002,1457.668
12/2002,1368.435
01/2003,1539.1
02/2003,1067.1
03/2003,1448.8
04/2003,1493.2
05/2003,1403.8
06/2003,1536.9
07/2003,1657.8
08/2003,1695.7
09/2003,1830.3
10/2003,1897.3
11/2003,1723.4
12/2003,1982.9
01/2004,1737.6
02/2004,1575.3
03/2004,1945.8
04/2004,1998.7
05/2004,2229.9
06/2004,2488.1
07/2004,2357.4
08/2004,2471.9
09/2004,2711.6
10/2004,2428.1
11/2004,2671.6
12/2004,2740.7
01/2005,2384.5
02/2005,1922.2
03/2005,2746.8
04/2005,2733.7
05/2005,2447.5
06/2005,2773.8
07/2005,2828.9
08/2005,3434.8
09/2005,3086.9
10/2005,3049.4
11/2005,3097.6
12/2005,3719.3
01/2006,3168.3
02/2006,2848.3
03/2006,3600.5
04/2006,3461.6
05/2006,3432.1
06/2006,3558.1
07/2006,3517.9
08/2006,3985.9
09/2006,3860.1
10/2006,3452.5
11/2006,3870.6
12/2006,4664.1
01/2007,3952.5
02/2007,3611.3
03/2007,3827.9
04/2007,3754.7
05/2007,3905.1
06/2007,4272.7
07/2007,4212.3
08/2007,4203.1
09/2007,3825.8
10/2007,3939.3
11/2007,4575.4
12/2007,4023.8
01/2008,4083.1
02/2008,3526.9
03/2008,3855.2
04/2008,3781.5
05/2008,3669.1
06/2008,4027.3
07/2008,4457.5
08/2008,4491.6
09/2008,4714
10/2008,4241.2
11/2008,3471.2
12/2008,3335.9
01/2009,2700.5
02/2009,2357.7
03/2009,3041.8
04/2009,2746.9
05/2009,2853.9
06/2009,3165.1
07/2009,3408.2
08/2009,3169
09/2009,3573.1
10/2009,3382.1
11/2009,3545.4
12/2009,3681.1
01/2010,3856.2
02/2010,2842
03/2010,3769.7
04/2010,4102.9
05/2010,4031.2
06/2010,4045.9
07/2010,4269.3
08/2010,3997.2
09/2010,3727.1
10/2010,3401.5
11/2010,3914.4
12/2010,3895.5
01/2011,4040.4
02/2011,3102.1
03/2011,4598.7
04/2011,4096.4
05/2011,4116.6
06/2011,4024.5
07/2011,4045.2
08/2011,4035.1
09/2011,3835.3
10/2011,3748.3
11/2011,4217.3
12/2011,4223.9
01/2012,3940.8
02/2012,3574.1
03/2012,4559.6
04/2012,3959.5
05/2012,4152.7
06/2012,4320.2
07/2012,4177
08/2012,4067.3
09/2012,3948.2
10/2012,4022.8
11/2012,4461.6
12/2012,4420.2
01/2013,4665
02/2013,3692.5
03/2013,4300.1
04/2013,4674.1
05/2013,4512.7
06/2013,4398
07/2013,4955.4
08/2013,4704.9
09/2013,4676.7
10/2013,4672.4
11/2013,4814.5
12/2013,4951.2
01/2014,4796.6
02/2014,3884.6
03/2014,4901.1
04/2014,4851.3
05/2014,4551.5
06/2014,4797.5
07/2014,4358.3
08/2014,4140.2
09/2014,4968.7
10/2014,5012.5
11/2014,4804.3
12/2014,5217.9
01/2015,4951
02/2015,4084.1
03/2015,4320.3
04/2015,4986.7
05/2015,4554.1
06/2015,4685.6
07/2015,4995.6
08/2015,4829.8
09/2015,5005.2
10/2015,5362.7
11/2015,4973.2
12/2015,5167.1
01/2016,4706.9
02/2016,3541.8
03/2016,4702.2
04/2016,4430.9
05/2016,4605.8
06/2016,4539.3
07/2016,4482.8
08/2016,4415.7
09/2016,4592.2
10/2016,4892.6
11/2016,5189.2
12/2016,5846.4
01/2017,5487.3
02/2017,3868.5
03/2017,5654.5
04/2017,4724.4
05/2017,5481.2
06/2017,4986.2
07/2017,5054.8
08/2017,5001.8
09/2017,5041.5
10/2017,4988.5
11/2017,6067.8
12/2017,6198.4
01/2018,5650.7
02/2018,4746.6
03/2018,5140.1
04/2018,5552
05/2018,5899.3
06/2018,5560.8
07/2018,5842.3
08/2018,5730
09/2018,5370.5
10/2018,5974.4
11/2018,5832.5
12/2018,5709
01/2019,6216.6
02/2019,4037
03/2019,5584.7
04/2019,5580
05/2019,5635
06/2019,5061.6
07/2019,5612.2
08/2019,5045
09/2019,5610.9
10/2019,6125.5
11/2019,6389.4
12/2019,5992.6
01/2020,5469.8
02/2020,3978.9
03/2020,5979.9
04/2020,5583.2
05/2020,4843.7
06/2020,5288.2
07/2020,5539.2
08/2020,5574.1
09/2020,5479.6
10/2020,5142.6
11/2020,6280.7
12/2020,6202.3
01/2021,6121
02/2021,4989.7
03/2021,6291.7
04/2021,6329.5
05/2021,5799.3
06/2021,6198.5
07/2021,5526.6
08/2021,5467.8
09/2021,6016.6
10/2021,6026.1
11/2021,6670.9
12/2021,7876
01/2022,6387.2
02/2022,4799.3
03/2022,6635.5
04/2022,6153.9
05/2022,7478.1
06/2022,7976.2
07/2022,8510.2
08/2022,8196.6
09/2022,7390.9
10/2022,7377.5
11/2022,8285.8
12/2022,7642.6
01/2023,7362.2
02/2023,5633.5
03/2023,6607
04/2023,5716.5
05/2023,6163.3
06/2023,5975.8
07/2023,6504.9
08/2023,6519.9
09/2023,7039.8
10/2023,8248.7
11/2023,7283.3
12/2023,5898.3
01/2024,6422.9
02/2024,4971.1
03/2024,6149.3
04/2024,6909.9
05/2024,6416.5
06/2024,6111
07/2024,6713.5
08/2024,6249.9
09/2024,5716.2
10/2024,6070.1
11/2024,6841.2
12/2024,7168
01/2025,6786.8
02/2025,5487.9
03/2025,6338.7
04/2025,7095.4
05/2025,6995.7
06/2025,5935.3
07/2025,7225
08/2025,7147.9
09/2025,6902.6
10/2025,7575.3
11/2025,6902.4
12/2025,7600.7
01/2026,7438.7