,进口：印度尼西亚
区域,新加坡
次国家,
频率,月
单位,百万新加坡元
数据来源,Enterprise Singapore
状态,继续
数列ID,94465901 (SJCSXA)
SR码,SR739135
贸易代码,
助记符,
函数说明,
首次观测日期,01/2003
最后观测日期,01/2026
最后更新时间,16/02/2026
数列备注,
建议,
平均 MEAN,1811.120577617329
方差,91113.48997357818
标准差,301.85011176671475
偏度,-0.04227856674543052
峰度,0.04693989082725736
变异系数,0.16666483474215849
最小,980.9
最大,2796.9
中位数,1809.2
总和 SUM,501680.4
减 SUBTRACT,-1816
参照期间,277
01/2003,1255.1
02/2003,1078.3
03/2003,1122.3
04/2003,980.9
05/2003,1263.7
06/2003,1180.2
07/2003,1259.8
08/2003,1195.6
09/2003,1518.2
10/2003,1432.5
11/2003,1212.9
12/2003,1268.3
01/2004,1259.8
02/2004,1067.3
03/2004,1359.5
04/2004,1271.7
05/2004,1365.7
06/2004,1551.3
07/2004,1440.8
08/2004,1435.4
09/2004,1501.8
10/2004,1496.3
11/2004,1367.2
12/2004,1448.7
01/2005,1249
02/2005,1301.1
03/2005,1512.8
04/2005,1562.7
05/2005,1317.7
06/2005,1641.9
07/2005,1471.6
08/2005,1431.6
09/2005,1613.7
10/2005,1567.1
11/2005,1396
12/2005,1537.6
01/2006,1739.6
02/2006,1891.2
03/2006,1770.4
04/2006,1944.6
05/2006,2143.5
06/2006,2140.4
07/2006,2515.4
08/2006,2024.9
09/2006,2119.7
10/2006,1756.8
11/2006,2140.1
12/2006,1825.5
01/2007,1822.4
02/2007,1751.3
03/2007,1775
04/2007,1968.2
05/2007,1848
06/2007,1997.8
07/2007,2130
08/2007,2005.6
09/2007,2054.1
10/2007,2233.4
11/2007,1991.3
12/2007,1758.2
01/2008,2172.6
02/2008,1716.7
03/2008,1982.4
04/2008,2117.1
05/2008,1915.3
06/2008,2387.4
07/2008,2530.1
08/2008,2100.1
09/2008,2796.9
10/2008,1957.9
11/2008,2019.5
12/2008,1789.3
01/2009,1627
02/2009,1785.9
03/2009,1675.7
04/2009,1418
05/2009,1478.3
06/2009,1547.9
07/2009,1779.8
08/2009,1651.7
09/2009,1924.8
10/2009,2189.1
11/2009,2046.7
12/2009,1874.1
01/2010,1639.9
02/2010,1773
03/2010,1962
04/2010,2234.4
05/2010,2016.1
06/2010,1916.6
07/2010,1892.9
08/2010,1732.9
09/2010,1930
10/2010,2198.7
11/2010,1925.8
12/2010,1963.4
01/2011,2204.7
02/2011,1568.7
03/2011,2199.6
04/2011,2105.4
05/2011,2213.5
06/2011,1947.5
07/2011,2113.4
08/2011,2189.2
09/2011,2036.9
10/2011,2016.3
11/2011,2040.5
12/2011,1940.4
01/2012,1969.4
02/2012,2537.3
03/2012,2069.6
04/2012,2013.7
05/2012,2121.6
06/2012,2288.4
07/2012,2005.9
08/2012,1985.5
09/2012,2481.2
10/2012,2127.8
11/2012,2084.3
12/2012,1954.9
01/2013,1888.3
02/2013,1751.3
03/2013,1947.8
04/2013,2087.2
05/2013,1904.2
06/2013,1975.2
07/2013,1979.8
08/2013,1980.6
09/2013,2484.1
10/2013,2123.1
11/2013,1839.4
12/2013,2359.1
01/2014,2165.2
02/2014,2023.5
03/2014,1903.8
04/2014,2034.2
05/2014,1907.1
06/2014,2128.4
07/2014,2230.1
08/2014,1903.4
09/2014,2161.5
10/2014,1979.6
11/2014,1710.3
12/2014,1984.4
01/2015,1965
02/2015,1537.1
03/2015,1696.9
04/2015,1739.1
05/2015,1706
06/2015,1850.7
07/2015,1630.5
08/2015,1932
09/2015,1801.8
10/2015,1968.3
11/2015,1449.6
12/2015,1596.1
01/2016,1339.5
02/2016,1897.2
03/2016,1708.3
04/2016,1560.8
05/2016,1686.9
06/2016,1679.1
07/2016,1454.6
08/2016,1566.2
09/2016,1583
10/2016,1723.5
11/2016,1581.2
12/2016,1554.5
01/2017,1522.8
02/2017,1592.7
03/2017,1714.2
04/2017,1808.8
05/2017,1720.2
06/2017,1675.1
07/2017,1610.8
08/2017,1902.3
09/2017,1753.2
10/2017,2098.7
11/2017,1942.1
12/2017,1534.2
01/2018,1701.2
02/2018,1675.6
03/2018,1781.6
04/2018,1579.8
05/2018,1741.9
06/2018,1408.7
07/2018,1844.1
08/2018,1792.1
09/2018,1621.9
10/2018,2001.4
11/2018,1563.3
12/2018,1824.9
01/2019,1747.2
02/2019,1704.5
03/2019,1823.9
04/2019,1394.2
05/2019,1768.7
06/2019,1713.9
07/2019,1946.3
08/2019,2047.7
09/2019,2041
10/2019,1836.5
11/2019,1708.4
12/2019,1560
01/2020,1737
02/2020,2180.9
03/2020,2093.3
04/2020,1735.6
05/2020,1226
06/2020,1337.8
07/2020,1602.9
08/2020,1530.2
09/2020,1526.9
10/2020,1456.2
11/2020,1369.3
12/2020,1455.3
01/2021,1433.8
02/2021,1456.1
03/2021,1750.1
04/2021,1809.2
05/2021,1445
06/2021,1797.2
07/2021,1601.9
08/2021,1719.2
09/2021,1706.2
10/2021,1763.1
11/2021,1988.5
12/2021,1952.4
01/2022,1854
02/2022,1752.3
03/2022,2245.6
04/2022,2401.3
05/2022,2242.2
06/2022,2244
07/2022,2032
08/2022,2301.2
09/2022,1924.9
10/2022,1987.2
11/2022,1971.9
12/2022,2074.8
01/2023,1882.7
02/2023,1804.1
03/2023,1869.6
04/2023,1887.1
05/2023,1790.9
06/2023,1696.8
07/2023,1716
08/2023,1773.3
09/2023,1675.3
10/2023,1725.1
11/2023,1786.6
12/2023,1857.2
01/2024,1747.6
02/2024,1371.9
03/2024,1896.9
04/2024,1466
05/2024,1794.9
06/2024,1605.1
07/2024,1658.9
08/2024,1826.1
09/2024,1650.2
10/2024,1973.1
11/2024,1940.8
12/2024,2006.9
01/2025,1763.6
02/2025,1850
03/2025,2035.1
04/2025,2322.3
05/2025,2383.4
06/2025,1962.6
07/2025,2000.7
08/2025,2018.2
09/2025,2205.1
10/2025,2162.6
11/2025,2103.9
12/2025,2317.1
01/2026,1914.6