,进口：德国
区域,新加坡
次国家,
频率,月
单位,百万新加坡元
数据来源,Enterprise Singapore
状态,继续
数列ID,36416001 (SJCB)
SR码,SR739116
贸易代码,
助记符,
函数说明,
首次观测日期,01/1976
最后观测日期,01/2026
最后更新时间,16/02/2026
数列备注,
建议,
平均 MEAN,640.7635707154737
方差,161049.6303723921
标准差,401.3098931902777
偏度,0.012696633132643924
峰度,-1.5165653598370508
变异系数,0.6262994831965507
最小,50.447
最大,1432.5
中位数,605.625
总和 SUM,385098.9059999998
减 SUBTRACT,-1382.0529999999999
参照期间,601
01/1976,69.502
02/1976,50.646
03/1976,63.25
04/1976,67.458
05/1976,52.287
06/1976,55.742
07/1976,60.883
08/1976,71.843
09/1976,59.781
10/1976,53.903
11/1976,67.875
12/1976,65.842
01/1977,88.33
02/1977,54.596
03/1977,50.447
04/1977,80.789
05/1977,71.113
06/1977,57.801
07/1977,75.035
08/1977,82.778
09/1977,69.183
10/1977,77.825
11/1977,81.081
12/1977,91.277
01/1978,77.137
02/1978,77.478
03/1978,85.349
04/1978,98.142
05/1978,74.426
06/1978,75.04
07/1978,108.519
08/1978,111.167
09/1978,81.983
10/1978,110.218
11/1978,126.251
12/1978,91.917
01/1979,95.954
02/1979,92.744
03/1979,98.571
04/1979,94.718
05/1979,105.342
06/1979,119.018
07/1979,158.665
08/1979,126.34
09/1979,113.699
10/1979,119.999
11/1979,154.929
12/1979,139.02
01/1980,147.227
02/1980,135.888
03/1980,148.49
04/1980,137.734
05/1980,125.635
06/1980,135.28
07/1980,131.572
08/1980,129.062
09/1980,152.834
10/1980,131.562
11/1980,159.857
12/1980,141.934
01/1981,147.808
02/1981,88.646
03/1981,142.003
04/1981,129.703
05/1981,130.723
06/1981,140.502
07/1981,120.07
08/1981,126.484
09/1981,121.396
10/1981,139.884
11/1981,139.977
12/1981,183.217
01/1982,199.694
02/1982,133.277
03/1982,199.561
04/1982,116.445
05/1982,171.848
06/1982,140.002
07/1982,154.648
08/1982,169.716
09/1982,146.359
10/1982,195.827
11/1982,147.259
12/1982,137.76
01/1983,144.093
02/1983,112.124
03/1983,118.928
04/1983,156.734
05/1983,149.649
06/1983,124.591
07/1983,118.462
08/1983,172.269
09/1983,122.656
10/1983,136.71
11/1983,126.794
12/1983,136.72
01/1984,135.711
02/1984,132.258
03/1984,134.514
04/1984,130.066
05/1984,142.214
06/1984,154.942
07/1984,141.559
08/1984,132.214
09/1984,133.818
10/1984,145.938
11/1984,147.729
12/1984,136.192
01/1985,136.807
02/1985,125.238
03/1985,108.539
04/1985,144.724
05/1985,145.383
06/1985,118.178
07/1985,134.054
08/1985,138.499
09/1985,126.268
10/1985,123.552
11/1985,146.363
12/1985,126.768
01/1986,146.187
02/1986,146.365
03/1986,110.489
04/1986,157.734
05/1986,134.071
06/1986,145.107
07/1986,165.026
08/1986,152.028
09/1986,146.184
10/1986,171.922
11/1986,165.372
12/1986,188.47
01/1987,156.163
02/1987,176.545
03/1987,151.14
04/1987,231.088
05/1987,182.586
06/1987,198.614
07/1987,209.517
08/1987,172.855
09/1987,235.992
10/1987,214.505
11/1987,228.734
12/1987,201.702
01/1988,264.693
02/1988,242.223
03/1988,227.961
04/1988,262.881
05/1988,236.314
06/1988,298.651
07/1988,245.388
08/1988,280.948
09/1988,260.219
10/1988,290.749
11/1988,291.526
12/1988,363.481
01/1989,239.988
02/1989,242.19
03/1989,261.933
04/1989,281.234
05/1989,374.057
06/1989,288.555
07/1989,271.221
08/1989,295.846
09/1989,277.115
10/1989,300.465
11/1989,367.622
12/1989,304.958
01/1990,303.488
02/1990,300.238
03/1990,320.789
04/1990,287.937
05/1990,313.692
06/1990,306.005
07/1990,329.247
08/1990,337.622
09/1990,348.37
10/1990,371.434
11/1990,339.557
12/1990,340.111
01/1991,286.437
02/1991,277.631
03/1991,336.755
04/1991,285.029
05/1991,336.055
06/1991,274.837
07/1991,389.835
08/1991,298.635
09/1991,257.166
10/1991,295.74
11/1991,316.464
12/1991,294.942
01/1992,294.118
02/1992,265.63
03/1992,322.487
04/1992,284.418
05/1992,330.237
06/1992,306.767
07/1992,358.838
08/1992,326.453
09/1992,324.194
10/1992,336.113
11/1992,308.711
12/1992,381.344
01/1993,267.885
02/1993,326.902
03/1993,348.608
04/1993,336.601
05/1993,368.44
06/1993,343.812
07/1993,335.528
08/1993,364.107
09/1993,348.663
10/1993,346.382
11/1993,399.51
12/1993,416.519
01/1994,372.201
02/1994,310.442
03/1994,442.1
04/1994,422.103
05/1994,399.837
06/1994,399.262
07/1994,459.311
08/1994,465.359
09/1994,409.689
10/1994,476.339
11/1994,552.976
12/1994,559.958
01/1995,466.47
02/1995,437.064
03/1995,465.29
04/1995,460.088
05/1995,495.726
06/1995,455.486
07/1995,543.59
08/1995,537.053
09/1995,529.618
10/1995,578.452
11/1995,605.625
12/1995,552.705
01/1996,547.433
02/1996,477.586
03/1996,598.187
04/1996,533.013
05/1996,500.592
06/1996,506.6
07/1996,575.236
08/1996,708.09
09/1996,521.201
10/1996,607.618
11/1996,560.963
12/1996,623.164
01/1997,515.13
02/1997,451.776
03/1997,568.524
04/1997,559.556
05/1997,511.23
06/1997,526.464
07/1997,635.212
08/1997,559.614
09/1997,538.659
10/1997,585.65
11/1997,625.599
12/1997,645.782
01/1998,497.17
02/1998,509.986
03/1998,583.639
04/1998,502.075
05/1998,440.726
06/1998,494.781
07/1998,510.383
08/1998,417.578
09/1998,455.832
10/1998,454.31
11/1998,498.692
12/1998,477.368
01/1999,400.256
02/1999,424.646
03/1999,535.455
04/1999,461.283
05/1999,480.699
06/1999,502.085
07/1999,568.524
08/1999,588.72
09/1999,484.853
10/1999,557.535
11/1999,526.991
12/1999,580.334
01/2000,470.161
02/2000,504.915
03/2000,569.776
04/2000,537.641
05/2000,672.765
06/2000,620.681
07/2000,604.188
08/2000,699.794
09/2000,661.649
10/2000,638.111
11/2000,612.127
12/2000,712.307
01/2001,586.563
02/2001,555.067
03/2001,687.068
04/2001,607.033
05/2001,628.512
06/2001,513.449
07/2001,586.075
08/2001,628.797
09/2001,520.748
10/2001,588.239
11/2001,496.691
12/2001,463.229
01/2002,449.516
02/2002,435.064
03/2002,606.714
04/2002,611.011
05/2002,616.803
06/2002,595.955
07/2002,703.431
08/2002,642.02
09/2002,630.312
10/2002,644.243
11/2002,567.177
12/2002,580.298
01/2003,587.7
02/2003,618.1
03/2003,655.8
04/2003,701.1
05/2003,698.2
06/2003,747.9
07/2003,736.1
08/2003,712.7
09/2003,652.8
10/2003,784.5
11/2003,766.8
12/2003,798.7
01/2004,729.5
02/2004,694.2
03/2004,877.7
04/2004,781.6
05/2004,799.4
06/2004,787.2
07/2004,834.8
08/2004,842.4
09/2004,814.8
10/2004,800.7
11/2004,787.3
12/2004,855
01/2005,739.4
02/2005,649.4
03/2005,802.2
04/2005,813.2
05/2005,805.5
06/2005,851
07/2005,850.6
08/2005,895.6
09/2005,840.3
10/2005,926.8
11/2005,779.9
12/2005,965.4
01/2006,755.8
02/2006,778.1
03/2006,968.7
04/2006,815.1
05/2006,806.7
06/2006,912.2
07/2006,961.9
08/2006,1018.1
09/2006,952
10/2006,926.6
11/2006,962.4
12/2006,939.4
01/2007,882.7
02/2007,823.7
03/2007,1013.5
04/2007,931.6
05/2007,1100.6
06/2007,1026.3
07/2007,1061.2
08/2007,1149.4
09/2007,1007.9
10/2007,1076.8
11/2007,1084
12/2007,1084.2
01/2008,1038.7
02/2008,904.7
03/2008,1165.7
04/2008,1151.1
05/2008,1111.4
06/2008,1192.8
07/2008,1144.1
08/2008,1106.1
09/2008,1225.4
10/2008,1094.7
11/2008,922
12/2008,973.9
01/2009,836.7
02/2009,776.9
03/2009,944.8
04/2009,880.9
05/2009,859.1
06/2009,866.7
07/2009,1009.6
08/2009,1036.8
09/2009,971.6
10/2009,1207.8
11/2009,987.3
12/2009,1049.7
01/2010,874.5
02/2010,847.9
03/2010,1209.8
04/2010,984.9
05/2010,1031.9
06/2010,1055.8
07/2010,1033.3
08/2010,1046.4
09/2010,977.5
10/2010,1000.3
11/2010,1009.4
12/2010,1058.1
01/2011,912
02/2011,830.2
03/2011,1187.5
04/2011,1173.5
05/2011,1101.2
06/2011,1123.4
07/2011,1032.4
08/2011,1094.7
09/2011,1085.3
10/2011,1066.9
11/2011,1271.5
12/2011,1199.5
01/2012,995.2
02/2012,1175.4
03/2012,1246.3
04/2012,1099.4
05/2012,1174
06/2012,1093.6
07/2012,1161.2
08/2012,1074.9
09/2012,1137.4
10/2012,1025.7
11/2012,1041.2
12/2012,979.4
01/2013,1016.4
02/2013,901.7
03/2013,1152
04/2013,1153
05/2013,1123.6
06/2013,1058.8
07/2013,1255
08/2013,1194
09/2013,1168.1
10/2013,1300.8
11/2013,1048.8
12/2013,1234.7
01/2014,1067.3
02/2014,1048.2
03/2014,1195.1
04/2014,1299
05/2014,1086.6
06/2014,1044.7
07/2014,1120.5
08/2014,1136.5
09/2014,1119.2
10/2014,1085.6
11/2014,1068.7
12/2014,1215.1
01/2015,1004.8
02/2015,925.7
03/2015,1060.1
04/2015,1038.7
05/2015,946.6
06/2015,977.7
07/2015,1096.3
08/2015,1083.2
09/2015,1025.9
10/2015,1098.7
11/2015,1025.8
12/2015,1023.7
01/2016,897.5
02/2016,929.7
03/2016,1105.3
04/2016,1013.9
05/2016,1014.7
06/2016,1040.9
07/2016,1023.4
08/2016,1069.6
09/2016,900.2
10/2016,983.1
11/2016,1054.2
12/2016,1021.9
01/2017,923.3
02/2017,984.6
03/2017,1066.1
04/2017,1126.5
05/2017,1192.5
06/2017,1093.2
07/2017,1051
08/2017,1179.5
09/2017,1055.4
10/2017,1167.7
11/2017,1136
12/2017,1117.2
01/2018,1152.6
02/2018,963.9
03/2018,1182.3
04/2018,1117.4
05/2018,1125
06/2018,1063.3
07/2018,1175.8
08/2018,1198.1
09/2018,1171.8
10/2018,1222
11/2018,1144.1
12/2018,1141.4
01/2019,1102.6
02/2019,1042.8
03/2019,1235.6
04/2019,1238.4
05/2019,1201.6
06/2019,1016.8
07/2019,1194.5
08/2019,1141.9
09/2019,1084.8
10/2019,1090.6
11/2019,1076
12/2019,1090.8
01/2020,1127.3
02/2020,1003.4
03/2020,1115
04/2020,1160.8
05/2020,892.2
06/2020,978.8
07/2020,1061.1
08/2020,931.9
09/2020,972.4
10/2020,980.9
11/2020,978.2
12/2020,980.3
01/2021,947.5
02/2021,916.7
03/2021,1124.8
04/2021,1102
05/2021,1432.5
06/2021,1142.9
07/2021,1185.9
08/2021,1147.5
09/2021,1290.5
10/2021,1103
11/2021,1094.9
12/2021,1329.6
01/2022,1038.8
02/2022,1074.2
03/2022,1259.7
04/2022,1282.3
05/2022,1095.5
06/2022,1108.9
07/2022,1207.4
08/2022,1135.2
09/2022,1170.5
10/2022,1122.3
11/2022,1107.6
12/2022,1129.5
01/2023,963.4
02/2023,1096.2
03/2023,1318.2
04/2023,1225.8
05/2023,1144.7
06/2023,1090.7
07/2023,1178.1
08/2023,1143.1
09/2023,1114
10/2023,1116.3
11/2023,1084.8
12/2023,1034
01/2024,1034.4
02/2024,967.5
03/2024,1115.9
04/2024,1063.1
05/2024,1138.3
06/2024,1049.9
07/2024,1169.1
08/2024,1163.3
09/2024,1081.3
10/2024,1103.5
11/2024,1070.4
12/2024,1108.3
01/2025,902.9
02/2025,901.5
03/2025,1120.3
04/2025,1136.6
05/2025,1102.1
06/2025,1035.2
07/2025,1136.4
08/2025,1104.6
09/2025,1096.9
10/2025,1330.1
11/2025,1062.1
12/2025,1283.6
01/2026,1117.3