,进口：法国
区域,新加坡
次国家,
频率,月
单位,百万新加坡元
数据来源,Enterprise Singapore
状态,继续
数列ID,36415901 (SJCA)
SR码,SR739115
贸易代码,
助记符,
函数说明,
首次观测日期,01/1976
最后观测日期,01/2026
最后更新时间,16/02/2026
数列备注,
建议,
平均 MEAN,571.8880915141439
方差,241691.94207875634
标准差,491.6217469546647
偏度,0.7711955340936117
峰度,-0.5552860217441569
变异系数,0.8596467635005929
最小,15.565
最大,1922.4
中位数,367.226
总和 SUM,343704.74299999996
减 SUBTRACT,-1906.835
参照期间,601
01/1976,20.994
02/1976,22.398
03/1976,26.167
04/1976,20.699
05/1976,17.256
06/1976,21.75
07/1976,21.247
08/1976,39.565
09/1976,31.058
10/1976,22.594
11/1976,24.742
12/1976,15.565
01/1977,30.572
02/1977,22.234
03/1977,27.929
04/1977,24.347
05/1977,23.933
06/1977,19.462
07/1977,34.333
08/1977,24.838
09/1977,20.827
10/1977,27.6
11/1977,23.007
12/1977,31.639
01/1978,56.702
02/1978,24.518
03/1978,35.712
04/1978,33.953
05/1978,29.426
06/1978,31.239
07/1978,41.302
08/1978,33.032
09/1978,29.563
10/1978,34.565
11/1978,37.719
12/1978,53.642
01/1979,30.496
02/1979,36.228
03/1979,31.115
04/1979,32.722
05/1979,39.596
06/1979,39.662
07/1979,45.031
08/1979,37.432
09/1979,44.494
10/1979,42.226
11/1979,50.853
12/1979,54.462
01/1980,64.754
02/1980,47.757
03/1980,51.281
04/1980,49.545
05/1980,54.037
06/1980,48.117
07/1980,85.405
08/1980,72.25
09/1980,57.029
10/1980,60.882
11/1980,55.975
12/1980,51.989
01/1981,162.639
02/1981,128.648
03/1981,59.881
04/1981,133.335
05/1981,61.559
06/1981,54.089
07/1981,56.514
08/1981,75.488
09/1981,57.821
10/1981,66.036
11/1981,50.708
12/1981,60.906
01/1982,159.776
02/1982,158.496
03/1982,67.524
04/1982,78.174
05/1982,76.282
06/1982,57.859
07/1982,75.432
08/1982,66.827
09/1982,62.254
10/1982,67.752
11/1982,70.561
12/1982,183.661
01/1983,66.903
02/1983,63.169
03/1983,80.174
04/1983,77.845
05/1983,69.442
06/1983,63.936
07/1983,59.443
08/1983,97.706
09/1983,301.808
10/1983,62.278
11/1983,57.705
12/1983,49.728
01/1984,73.24
02/1984,55.322
03/1984,68.835
04/1984,55.933
05/1984,66.514
06/1984,59.127
07/1984,77.07
08/1984,75.293
09/1984,59.224
10/1984,66.009
11/1984,308.504
12/1984,57.597
01/1985,194.741
02/1985,64.414
03/1985,179.388
04/1985,312.623
05/1985,74.524
06/1985,67.053
07/1985,82.792
08/1985,92.011
09/1985,62.564
10/1985,63.043
11/1985,62.856
12/1985,71.692
01/1986,84.609
02/1986,77.966
03/1986,79.352
04/1986,90.872
05/1986,65.962
06/1986,78.164
07/1986,79.427
08/1986,96.459
09/1986,70.214
10/1986,75.018
11/1986,71.223
12/1986,102.374
01/1987,88.548
02/1987,92.993
03/1987,80.818
04/1987,101.615
05/1987,87.577
06/1987,101.612
07/1987,219.4
08/1987,93.632
09/1987,119.97
10/1987,93.127
11/1987,97.362
12/1987,239.233
01/1988,118.097
02/1988,92.229
03/1988,128.299
04/1988,95.562
05/1988,119.811
06/1988,126.009
07/1988,145.686
08/1988,158.064
09/1988,145.152
10/1988,142.294
11/1988,159.303
12/1988,155.666
01/1989,149.54
02/1989,274.885
03/1989,150.024
04/1989,145.797
05/1989,130.406
06/1989,153.75
07/1989,142.125
08/1989,274.017
09/1989,237.333
10/1989,180.381
11/1989,164.671
12/1989,164.513
01/1990,182.82
02/1990,295.998
03/1990,189.827
04/1990,178.557
05/1990,183.081
06/1990,194.396
07/1990,205.737
08/1990,200.793
09/1990,217.272
10/1990,342.658
11/1990,221.266
12/1990,233.229
01/1991,215.512
02/1991,225.769
03/1991,369.569
04/1991,224.603
05/1991,236.718
06/1991,254.813
07/1991,366.78
08/1991,217.286
09/1991,210.484
10/1991,209.331
11/1991,202.607
12/1991,199.018
01/1992,241.051
02/1992,306.065
03/1992,208.396
04/1992,213.544
05/1992,206.934
06/1992,231.025
07/1992,239.616
08/1992,225.771
09/1992,351.771
10/1992,242.748
11/1992,214.477
12/1992,245.203
01/1993,171.237
02/1993,193.502
03/1993,380.062
04/1993,332.793
05/1993,239.463
06/1993,218.836
07/1993,240.385
08/1993,189.723
09/1993,339.678
10/1993,367.226
11/1993,217.674
12/1993,240.24
01/1994,184.655
02/1994,188.778
03/1994,255.273
04/1994,274.565
05/1994,316.012
06/1994,388.439
07/1994,293.869
08/1994,275.39
09/1994,233.718
10/1994,283.045
11/1994,307.217
12/1994,316.995
01/1995,239.993
02/1995,297.515
03/1995,400.515
04/1995,267.17
05/1995,307.76
06/1995,362.732
07/1995,328.902
08/1995,417.712
09/1995,315.634
10/1995,344.829
11/1995,323.621
12/1995,357.158
01/1996,322.545
02/1996,359.508
03/1996,577.15
04/1996,725.721
05/1996,361.114
06/1996,694.115
07/1996,418.328
08/1996,326.777
09/1996,364.984
10/1996,380.478
11/1996,340.777
12/1996,378.13
01/1997,319.651
02/1997,502.703
03/1997,572.961
04/1997,372.059
05/1997,383.818
06/1997,347.005
07/1997,573.486
08/1997,370.872
09/1997,346.953
10/1997,638.26
11/1997,393.518
12/1997,609.772
01/1998,368.515
02/1998,379.143
03/1998,571.836
04/1998,541.888
05/1998,321.803
06/1998,307.537
07/1998,347.852
08/1998,330.565
09/1998,604.981
10/1998,374.762
11/1998,362.999
12/1998,376.106
01/1999,403.579
02/1999,335.326
03/1999,414.455
04/1999,299.035
05/1999,299.935
06/1999,342.719
07/1999,650.823
08/1999,319.657
09/1999,290.129
10/1999,344.587
11/1999,313.889
12/1999,383.115
01/2000,243.088
02/2000,309.667
03/2000,304.143
04/2000,293.888
05/2000,323.612
06/2000,317.146
07/2000,333.617
08/2000,338.802
09/2000,293.173
10/2000,306.161
11/2000,362.416
12/2000,347.805
01/2001,344.408
02/2001,357.558
03/2001,323.279
04/2001,306.7
05/2001,285.854
06/2001,265.489
07/2001,339.399
08/2001,314.177
09/2001,301.99
10/2001,312.935
11/2001,287.305
12/2001,280.208
01/2002,278.7
02/2002,268.023
03/2002,330.613
04/2002,295.17
05/2002,371.303
06/2002,300.477
07/2002,329.867
08/2002,347.494
09/2002,289.54
10/2002,339.933
11/2002,325.579
12/2002,315.126
01/2003,311.7
02/2003,272.3
03/2003,318.4
04/2003,640.2
05/2003,284.4
06/2003,279.4
07/2003,392.4
08/2003,343.2
09/2003,325.4
10/2003,419.7
11/2003,339.6
12/2003,400.2
01/2004,1289.5
02/2004,333.1
03/2004,476.9
04/2004,1031.5
05/2004,515.4
06/2004,490.3
07/2004,446.7
08/2004,558.9
09/2004,482.2
10/2004,475.3
11/2004,454.4
12/2004,473
01/2005,489.4
02/2005,430.6
03/2005,465.8
04/2005,460.5
05/2005,464.9
06/2005,533.6
07/2005,500
08/2005,711
09/2005,554.2
10/2005,541.9
11/2005,589.9
12/2005,603.8
01/2006,531.3
02/2006,607.5
03/2006,748.5
04/2006,665.5
05/2006,814.1
06/2006,760.5
07/2006,775.7
08/2006,727
09/2006,666.6
10/2006,844.5
11/2006,645
12/2006,737.4
01/2007,603.8
02/2007,601.6
03/2007,673.1
04/2007,701.3
05/2007,633.5
06/2007,1175.1
07/2007,761.4
08/2007,793.9
09/2007,660.9
10/2007,1243.6
11/2007,701.5
12/2007,751
01/2008,1090.3
02/2008,706.3
03/2008,1122.7
04/2008,1216
05/2008,630.1
06/2008,1216.6
07/2008,798.1
08/2008,833.5
09/2008,1255.6
10/2008,833.4
11/2008,747.5
12/2008,667.9
01/2009,897.8
02/2009,1205.8
03/2009,1009.8
04/2009,1144
05/2009,1602.5
06/2009,1553.7
07/2009,690.1
08/2009,588.3
09/2009,1211.7
10/2009,680.4
11/2009,770.2
12/2009,830.5
01/2010,925.7
02/2010,759.4
03/2010,654.1
04/2010,642.2
05/2010,626.8
06/2010,697.2
07/2010,1114
08/2010,646.1
09/2010,790.3
10/2010,1383.3
11/2010,967.1
12/2010,912.7
01/2011,748.3
02/2011,652
03/2011,869.3
04/2011,776.7
05/2011,1175.7
06/2011,685.4
07/2011,752.7
08/2011,809.4
09/2011,1624
10/2011,934
11/2011,852.6
12/2011,782.3
01/2012,1543.5
02/2012,644.2
03/2012,1195.1
04/2012,871.9
05/2012,722.7
06/2012,894.4
07/2012,1238.6
08/2012,1240.8
09/2012,672.8
10/2012,892.5
11/2012,696.5
12/2012,730.7
01/2013,824.9
02/2013,883.1
03/2013,711.5
04/2013,828.9
05/2013,946.4
06/2013,744.9
07/2013,1068.6
08/2013,875
09/2013,785.6
10/2013,861.1
11/2013,861.3
12/2013,732.4
01/2014,726.8
02/2014,732.3
03/2014,1290.1
04/2014,917.4
05/2014,851.6
06/2014,707
07/2014,919.6
08/2014,809.7
09/2014,789.3
10/2014,1061
11/2014,679.1
12/2014,771
01/2015,853.4
02/2015,741.4
03/2015,826
04/2015,811.4
05/2015,677.1
06/2015,783
07/2015,782.7
08/2015,728.8
09/2015,773.6
10/2015,1336.1
11/2015,824.3
12/2015,897.9
01/2016,768.1
02/2016,940.1
03/2016,1137.5
04/2016,1288.7
05/2016,953
06/2016,923
07/2016,996.4
08/2016,794.6
09/2016,763.5
10/2016,938.1
11/2016,882.3
12/2016,1424.3
01/2017,766.6
02/2017,923.8
03/2017,1035.1
04/2017,956.3
05/2017,1007.9
06/2017,1062.9
07/2017,1085.9
08/2017,1170
09/2017,1027.8
10/2017,960.6
11/2017,1172.9
12/2017,1165
01/2018,1245.9
02/2018,964.5
03/2018,1036
04/2018,1001.7
05/2018,950
06/2018,1092.9
07/2018,1618.8
08/2018,1232.3
09/2018,1526.1
10/2018,1500
11/2018,1673
12/2018,1578.8
01/2019,1314.6
02/2019,1152.2
03/2019,1309.2
04/2019,1109.3
05/2019,1692.4
06/2019,1247.6
07/2019,1377.2
08/2019,1384.5
09/2019,1553.2
10/2019,1539.9
11/2019,1607
12/2019,1305.9
01/2020,1491.4
02/2020,1123
03/2020,1233.3
04/2020,912.8
05/2020,690.1
06/2020,895.5
07/2020,1088
08/2020,922
09/2020,1167.2
10/2020,1922.4
11/2020,1498.9
12/2020,1141.6
01/2021,1021.3
02/2021,987.5
03/2021,1906.8
04/2021,1150.4
05/2021,1239
06/2021,1453.4
07/2021,1279.4
08/2021,1035.9
09/2021,1432.7
10/2021,1248.4
11/2021,1259.2
12/2021,1449.2
01/2022,1426.7
02/2022,1074.7
03/2022,1289.7
04/2022,1553.6
05/2022,1365.4
06/2022,1535.9
07/2022,1555.5
08/2022,1624.6
09/2022,1660.6
10/2022,1493.2
11/2022,1563.1
12/2022,1537.3
01/2023,1608.5
02/2023,1445.2
03/2023,1896.3
04/2023,1317
05/2023,1620.2
06/2023,1590.6
07/2023,1731.2
08/2023,1417.3
09/2023,1356.3
10/2023,1503.7
11/2023,1578.5
12/2023,1431.7
01/2024,1501.3
02/2024,1629.5
03/2024,1363.2
04/2024,1510.9
05/2024,1441.8
06/2024,1327
07/2024,1646.6
08/2024,1293.5
09/2024,1325.7
10/2024,1393.9
11/2024,1549.4
12/2024,1355.9
01/2025,1248.7
02/2025,1102.6
03/2025,1738.3
04/2025,1396.9
05/2025,1466.1
06/2025,1302.7
07/2025,1565.2
08/2025,1398.8
09/2025,1493.1
10/2025,1552
11/2025,1421.1
12/2025,1788.1
01/2026,1621.8